sweep,setting,input_file,window_size,hidden_size,dropout,embedding_dim,accuracy,precision,recall,f1,roc_auc,model_output,vocab_output,status
window_size,10,data/processed/bgl_windows_deleaked_10.csv,10,128,0.3,64,0.9991,0.6,0.7004,0.6463,,models/ablations/lstm_window_size_10.pt,models/ablations/vocab_window_size_10.json,ok
window_size,20,data/processed/bgl_windows_deleaked.csv,20,128,0.3,64,0.999,0.4851,0.7632,0.5932,,models/ablations/lstm_window_size_20.pt,models/ablations/vocab_window_size_20.json,ok
window_size,50,data/processed/bgl_windows_deleaked_50.csv,50,128,0.3,64,0.9987,0.5718,0.7598,0.6525,,models/ablations/lstm_window_size_50.pt,models/ablations/vocab_window_size_50.json,ok
hidden_size,64,data/processed/bgl_windows_deleaked.csv,20,64,0.3,64,0.9992,0.5501,0.7009,0.6164,,models/ablations/lstm_hidden_size_64.pt,models/ablations/vocab_hidden_size_64.json,ok
hidden_size,128,data/processed/bgl_windows_deleaked.csv,20,128,0.3,64,0.999,0.4851,0.7632,0.5932,,models/ablations/lstm_hidden_size_128.pt,models/ablations/vocab_hidden_size_128.json,ok
hidden_size,256,data/processed/bgl_windows_deleaked.csv,20,256,0.3,64,0.9989,0.4735,0.7788,0.5889,,models/ablations/lstm_hidden_size_256.pt,models/ablations/vocab_hidden_size_256.json,ok
dropout,0.1,data/processed/bgl_windows_deleaked.csv,20,128,0.1,64,0.9988,0.5154,0.676,0.5849,,models/ablations/lstm_dropout_0.1.pt,models/ablations/vocab_dropout_0.1.json,ok
dropout,0.3,data/processed/bgl_windows_deleaked.csv,20,128,0.3,64,0.999,0.4851,0.7632,0.5932,,models/ablations/lstm_dropout_0.3.pt,models/ablations/vocab_dropout_0.3.json,ok
dropout,0.5,data/processed/bgl_windows_deleaked.csv,20,128,0.5,64,0.9986,0.4494,0.6916,0.5448,,models/ablations/lstm_dropout_0.5.pt,models/ablations/vocab_dropout_0.5.json,ok
embedding_dim,32,data/processed/bgl_windows_deleaked.csv,20,128,0.3,32,0.9971,0.5107,0.6698,0.5795,,models/ablations/lstm_embedding_dim_32.pt,models/ablations/vocab_embedding_dim_32.json,ok
embedding_dim,64,data/processed/bgl_windows_deleaked.csv,20,128,0.3,64,0.999,0.4851,0.7632,0.5932,,models/ablations/lstm_embedding_dim_64.pt,models/ablations/vocab_embedding_dim_64.json,ok
embedding_dim,128,data/processed/bgl_windows_deleaked.csv,20,128,0.3,128,0.9992,0.6016,0.7103,0.6514,,models/ablations/lstm_embedding_dim_128.pt,models/ablations/vocab_embedding_dim_128.json,ok
