sequence_id,segment_id,start_timestamp,end_timestamp,start_event_id,end_event_id,event_count,benign_event_count,malicious_event_count,sequence_label,y,lstm_malicious_probability,lstm_prediction,lstm_prediction_label,y_true,eval_threshold,eval_prediction,eval_prediction_label,eval_result,error_type,iforest_overlap_count,iforest_window_ids,iforest_max_anomaly_score,iforest_mean_anomaly_score,iforest_any_anomaly,iforest_overlapping_labels,iforest_anomaly_score_norm,lstm_alert,iforest_alert,or_alert,and_alert,combined_score,combined_alert,lstm_result,iforest_result,or_result,and_result,combined_result
84,20260508_211655_create_user_Tyu1u6,1778300215.52,1778300215.542,11853,11908,50,9,41,malicious,1,0.99982363,1,malicious,1,0.5,1,malicious,tp,,1,138,0.256494781502289,0.256494781502289,1,malicious,1.0,1,1,1,1,0.999876541,1,tp,tp,tp,tp,tp
86,20260508_211655_create_user_Tyu1u6,1778300215.527,1778300215.547,11874,11928,50,9,41,malicious,1,0.99981993,1,malicious,1,0.5,1,malicious,tp,,1,138,0.256494781502289,0.256494781502289,1,malicious,1.0,1,1,1,1,0.999873951,1,tp,tp,tp,tp,tp
74,20260508_211655_create_user_Tyu1u6,1778300215.468,1778300215.5,11740,11796,50,15,35,malicious,1,0.9998136,1,malicious,1,0.5,1,malicious,tp,,1,138,0.256494781502289,0.256494781502289,1,malicious,1.0,1,1,1,1,0.99986952,1,tp,tp,tp,tp,tp
2621,20260508_212404_nginx_delete_YuCbYY,1778300644.598,1778300644.618,48817,48872,50,4,46,malicious,1,0.9998084,1,malicious,1,0.5,1,malicious,tp,,1,181,0.2089982412022011,0.2089982412022011,1,malicious,0.26749283286683356,1,1,1,1,0.78011372986005,1,tp,tp,tp,tp,tp
75,20260508_211655_create_user_Tyu1u6,1778300215.47,1778300215.507,11751,11806,50,15,35,malicious,1,0.99979836,1,malicious,1,0.5,1,malicious,tp,,1,138,0.256494781502289,0.256494781502289,1,malicious,1.0,1,1,1,1,0.999858852,1,tp,tp,tp,tp,tp
94,20260508_211655_create_user_Tyu1u6,1778300215.56,1778300215.577,11965,12020,50,4,46,malicious,1,0.99979264,1,malicious,1,0.5,1,malicious,tp,,1,138,0.256494781502289,0.256494781502289,1,malicious,1.0,1,1,1,1,0.999854848,1,tp,tp,tp,tp,tp
73,20260508_211655_create_user_Tyu1u6,1778300215.464,1778300215.499,11730,11786,50,15,35,malicious,1,0.99978286,1,malicious,1,0.5,1,malicious,tp,,1,138,0.256494781502289,0.256494781502289,1,malicious,1.0,1,1,1,1,0.999848002,1,tp,tp,tp,tp,tp
2623,20260508_212404_nginx_delete_YuCbYY,1778300644.6,1778300644.62,48837,48892,50,4,46,malicious,1,0.99978095,1,malicious,1,0.5,1,malicious,tp,,1,181,0.2089982412022011,0.2089982412022011,1,malicious,0.26749283286683356,1,1,1,1,0.78009451486005,1,tp,tp,tp,tp,tp
91,20260508_211655_create_user_Tyu1u6,1778300215.547,1778300215.564,11929,11984,50,4,46,malicious,1,0.99975544,1,malicious,1,0.5,1,malicious,tp,,1,138,0.256494781502289,0.256494781502289,1,malicious,1.0,1,1,1,1,0.9998288080000001,1,tp,tp,tp,tp,tp
96,20260508_211655_create_user_Tyu1u6,1778300215.564,1778300215.583,11986,12041,50,4,46,malicious,1,0.99975246,1,malicious,1,0.5,1,malicious,tp,,1,138,0.256494781502289,0.256494781502289,1,malicious,1.0,1,1,1,1,0.999826722,1,tp,tp,tp,tp,tp
95,20260508_211655_create_user_Tyu1u6,1778300215.564,1778300215.582,11975,12030,50,4,46,malicious,1,0.9997453,1,malicious,1,0.5,1,malicious,tp,,1,138,0.256494781502289,0.256494781502289,1,malicious,1.0,1,1,1,1,0.99982171,1,tp,tp,tp,tp,tp
81,20260508_211655_create_user_Tyu1u6,1778300215.508,1778300215.527,11818,11873,50,7,43,malicious,1,0.99974316,1,malicious,1,0.5,1,malicious,tp,,1,138,0.256494781502289,0.256494781502289,1,malicious,1.0,1,1,1,1,0.9998202119999999,1,tp,tp,tp,tp,tp
85,20260508_211655_create_user_Tyu1u6,1778300215.526,1778300215.547,11863,11918,50,9,41,malicious,1,0.9997427,1,malicious,1,0.5,1,malicious,tp,,1,138,0.256494781502289,0.256494781502289,1,malicious,1.0,1,1,1,1,0.99981989,1,tp,tp,tp,tp,tp
2622,20260508_212404_nginx_delete_YuCbYY,1778300644.599,1778300644.619,48827,48882,50,4,46,malicious,1,0.99971825,1,malicious,1,0.5,1,malicious,tp,,1,181,0.2089982412022011,0.2089982412022011,1,malicious,0.26749283286683356,1,1,1,1,0.7800506248600501,1,tp,tp,tp,tp,tp
93,20260508_211655_create_user_Tyu1u6,1778300215.559,1778300215.577,11955,12010,50,4,46,malicious,1,0.9996896,1,malicious,1,0.5,1,malicious,tp,,1,138,0.256494781502289,0.256494781502289,1,malicious,1.0,1,1,1,1,0.99978272,1,tp,tp,tp,tp,tp
2628,20260508_212404_nginx_delete_YuCbYY,1778300644.62,1778300644.641,48893,48948,50,4,46,malicious,1,0.9996773,1,malicious,1,0.5,1,malicious,tp,,1,181,0.2089982412022011,0.2089982412022011,1,malicious,0.26749283286683356,1,1,1,1,0.7800219598600501,1,tp,tp,tp,tp,tp
2620,20260508_212404_nginx_delete_YuCbYY,1778300644.597,1778300644.617,48807,48862,50,4,46,malicious,1,0.99964035,1,malicious,1,0.5,1,malicious,tp,,1,181,0.2089982412022011,0.2089982412022011,1,malicious,0.26749283286683356,1,1,1,1,0.77999609486005,1,tp,tp,tp,tp,tp
89,20260508_211655_create_user_Tyu1u6,1778300215.542,1778300215.559,11909,11964,50,4,46,malicious,1,0.9996189,1,malicious,1,0.5,1,malicious,tp,,1,138,0.256494781502289,0.256494781502289,1,malicious,1.0,1,1,1,1,0.99973323,1,tp,tp,tp,tp,tp
2422,20260508_212327_dns_tamper_i0Hbez,1778300609.262,1778300609.319,45890,45941,50,31,19,malicious,1,0.9996068,1,malicious,1,0.5,1,malicious,tp,,1,177,0.2221588938636143,0.2221588938636143,1,malicious,0.47046071932187095,1,1,1,1,0.8408629757965612,1,tp,tp,tp,tp,tp
80,20260508_211655_create_user_Tyu1u6,1778300215.507,1778300215.526,11807,11862,50,7,43,malicious,1,0.9995931,1,malicious,1,0.5,1,malicious,tp,,1,138,0.256494781502289,0.256494781502289,1,malicious,1.0,1,1,1,1,0.99971517,1,tp,tp,tp,tp,tp
79,20260508_211655_create_user_Tyu1u6,1778300215.5,1778300215.52,11797,11852,50,7,43,malicious,1,0.99957865,1,malicious,1,0.5,1,malicious,tp,,1,138,0.256494781502289,0.256494781502289,1,malicious,1.0,1,1,1,1,0.9997050550000001,1,tp,tp,tp,tp,tp
83,20260508_211655_create_user_Tyu1u6,1778300215.52,1778300215.541,11843,11898,50,9,41,malicious,1,0.999574,1,malicious,1,0.5,1,malicious,tp,,1,138,0.256494781502289,0.256494781502289,1,malicious,1.0,1,1,1,1,0.9997018,1,tp,tp,tp,tp,tp
1959,20260508_212317_basic_enum_YrdGDI,1778300598.595,1778300598.683,40887,40938,50,36,14,malicious,1,0.99956685,1,malicious,1,0.5,1,malicious,tp,,1,176,0.2160294663398068,0.2160294663398068,1,malicious,0.3759306848552558,1,1,1,1,0.8124760004565768,1,tp,tp,tp,tp,tp
2624,20260508_212404_nginx_delete_YuCbYY,1778300644.603,1778300644.624,48851,48906,50,5,45,malicious,1,0.999546,1,malicious,1,0.5,1,malicious,tp,,1,181,0.2089982412022011,0.2089982412022011,1,malicious,0.26749283286683356,1,1,1,1,0.7799300498600501,1,tp,tp,tp,tp,tp
2461,20260508_212327_dns_tamper_i0Hbez,1778300610.117,1778300610.197,46305,46356,50,41,9,malicious,1,0.99954337,1,malicious,1,0.5,1,malicious,tp,,1,177,0.2221588938636143,0.2221588938636143,1,malicious,0.47046071932187095,1,1,1,1,0.8408185747965613,1,tp,tp,tp,tp,tp
2402,20260508_212327_dns_tamper_i0Hbez,1778300608.843,1778300608.932,45679,45732,50,36,14,malicious,1,0.9995167,1,malicious,1,0.5,1,malicious,tp,,1,177,0.2221588938636143,0.2221588938636143,1,malicious,0.47046071932187095,1,1,1,1,0.8407999057965613,1,tp,tp,tp,tp,tp
1974,20260508_212317_basic_enum_YrdGDI,1778300598.901,1778300598.994,41046,41097,50,39,11,malicious,1,0.99949574,1,malicious,1,0.5,1,malicious,tp,,1,176,0.2160294663398068,0.2160294663398068,1,malicious,0.3759306848552558,1,1,1,1,0.8124262234565767,1,tp,tp,tp,tp,tp
2030,20260508_212317_basic_enum_YrdGDI,1778300599.888,1778300599.973,41633,41686,50,41,9,malicious,1,0.99948055,1,malicious,1,0.5,1,malicious,tp,,1,176,0.2160294663398068,0.2160294663398068,1,malicious,0.3759306848552558,1,1,1,1,0.8124155904565769,1,tp,tp,tp,tp,tp
2401,20260508_212327_dns_tamper_i0Hbez,1778300608.833,1778300608.928,45669,45720,50,38,12,malicious,1,0.99947613,1,malicious,1,0.5,1,malicious,tp,,1,177,0.2221588938636143,0.2221588938636143,1,malicious,0.47046071932187095,1,1,1,1,0.8407715067965612,1,tp,tp,tp,tp,tp
90,20260508_211655_create_user_Tyu1u6,1778300215.547,1778300215.564,11919,11974,50,4,46,malicious,1,0.9994506,1,malicious,1,0.5,1,malicious,tp,,1,138,0.256494781502289,0.256494781502289,1,malicious,1.0,1,1,1,1,0.99961542,1,tp,tp,tp,tp,tp
2417,20260508_212327_dns_tamper_i0Hbez,1778300609.162,1778300609.262,45838,45889,50,33,17,malicious,1,0.99941623,1,malicious,1,0.5,1,malicious,tp,,1,177,0.2221588938636143,0.2221588938636143,1,malicious,0.47046071932187095,1,1,1,1,0.8407295767965612,1,tp,tp,tp,tp,tp
101,20260508_211655_create_user_Tyu1u6,1778300215.583,1778300215.616,12042,12098,50,32,18,malicious,1,0.99941456,1,malicious,1,0.5,1,malicious,tp,,1,138,0.256494781502289,0.256494781502289,1,malicious,1.0,1,1,1,1,0.999590192,1,tp,tp,tp,tp,tp
1975,20260508_212317_basic_enum_YrdGDI,1778300598.909,1778300598.998,41056,41107,50,38,12,malicious,1,0.9994085,1,malicious,1,0.5,1,malicious,tp,,1,176,0.2160294663398068,0.2160294663398068,1,malicious,0.3759306848552558,1,1,1,1,0.8123651554565767,1,tp,tp,tp,tp,tp
78,20260508_211655_create_user_Tyu1u6,1778300215.499,1778300215.52,11787,11842,50,7,43,malicious,1,0.9993876,1,malicious,1,0.5,1,malicious,tp,,1,138,0.256494781502289,0.256494781502289,1,malicious,1.0,1,1,1,1,0.99957132,1,tp,tp,tp,tp,tp
2629,20260508_212404_nginx_delete_YuCbYY,1778300644.626,1778300644.641,48907,48958,50,3,47,malicious,1,0.99938595,1,malicious,1,0.5,1,malicious,tp,,1,181,0.2089982412022011,0.2089982412022011,1,malicious,0.26749283286683356,1,1,1,1,0.77981801486005,1,tp,tp,tp,tp,tp
