window_id,window_start,window_end,source,event_count,record_count_sum,record_count_mean,path_count_sum,path_count_mean,execve_count,command_count,success_yes_count,success_no_count,unique_syscall_count,unique_primary_type_count,unique_exe_count,unique_comm_count,unique_uid_count,unique_euid_count,unique_auid_count,unique_pid_count,unique_ppid_count,root_uid_count,root_euid_count,unset_auid_count,network_event_count,tmp_path_event_count,home_path_event_count,etc_path_event_count,ssh_path_event_count,root_ssh_path_event_count,var_log_path_event_count,dev_shm_path_event_count,failed_execve_count,syscall_mkdir_count,syscall_openat_count,syscall_execve_count,syscall_fchmodat_count,syscall_connect_count,syscall_unlinkat_count,syscall_setresuid_count,syscall_unlink_count,syscall_rename_count,syscall_setresgid_count,syscall_chmod_count,syscall_missing_count,syscall_sendto_count,syscall_86_count,syscall_126_count,syscall_93_count,syscall_190_count,syscall_setgid_count,syscall_85_count,syscall_88_count,syscall_260_count,syscall_316_count,syscall_setuid_count,syscall_114_count,syscall_113_count,syscall_chown_count,syscall_write_count,syscall_77_count,syscall_91_count,syscall_renameat_count,type_syscall_count,type_user_end_count,type_user_acct_count,type_cred_disp_count,type_user_start_count,type_cred_refr_count,type_user_cmd_count,type_cred_acq_count,type_user_login_count,type_service_start_count,type_service_stop_count,type_daemon_start_count,key_home_activity_count,key_exec_count,key_network_connect_count,key_privilege_transition_count,key_tmp_activity_count,key_download_tool_count,key_null_count,key_missing_count,key_service_control_count,key_shell_exec_count,key_file_destroy_count,key_chmod_change_count,key_owner_change_count,comm_mkdir_count,comm_bash_count,comm_chmod_count,comm_git_count,comm_cp_count,comm_sudo_count,comm_rm_count,comm_cat_count,comm_date_count,comm_sleep_count,comm_curl_count,comm_wget_count,comm_ls_count,comm_ps_count,comm_sshd_count,comm_top_count,comm_tar_count,comm_missing_count,comm_auditctl_count,comm_sed_count,comm_chown_count,comm_seq_count,comm_touch_count,comm_python3_count,comm_gzip_count,comm_systemctl_count,comm_whoami_count,comm_cut_count,comm_sort_count,comm_find_count,comm_tee_count,comm_head_count,comm_sh_count,comm_tr_count,comm_awk_count,comm_du_count,comm_wc_count,comm_jq_count,comm_uniq_count,comm_mv_count,comm_cron_count,comm_shuf_count,comm_dpkg_count,comm_expr_count,comm_grep_count,comm_baseline_worklo_count,comm_egrep_count,comm_landscape_sysin_count,comm_basename_count,comm_sa1_count,exe_mkdir_count,exe_bash_count,exe_chmod_count,exe_git_count,exe_cp_count,exe_sudo_count,exe_rm_count,exe_cat_count,exe_date_count,exe_sleep_count,exe_curl_count,exe_wget_count,exe_ls_count,exe_ps_count,exe_sshd_count,exe_top_count,exe_tar_count,exe_missing_count,exe_auditctl_count,exe_sed_count,exe_dash_count,exe_chown_count,exe_python3_12_count,exe_env_count,exe_seq_count,exe_touch_count,exe_gzip_count,exe_systemctl_count,exe_whoami_count,exe_cut_count,exe_sort_count,exe_find_count,exe_tee_count,exe_head_count,exe_tr_count,exe_gawk_count,exe_wc_count,exe_uniq_count,exe_jq_count,exe_du_count,exe_cron_count,exe_mv_count,exe_shuf_count,exe_dpkg_count,exe_systemd_executor_count,exe_expr_count,exe_grep_count,exe_basename_count,exe_vmware_toolbox_cmd_count,exe_getopt_count,label_benign_count,label_malicious_count,label_ambiguous_count,label_unlabeled_count,window_label,iforest_normality_score,iforest_anomaly_score,iforest_is_anomaly
138,1778300213.757,1778300223.757,combined_manual,2669,11388,4.266766579243162,3089,1.157362307980517,843,762,2076,456,29,14,68,90,4,5,4,719,218,1554,1625,421,1341,176,135,182,6,0,0,0,81,145,245,843,4,447,5,287,35,32,212,13,137,0,9,38,16,0,29,1,1,8,0,21,40,31,21,12,12,17,2,2532,18,20,18,20,9,8,22,13,2,0,0,249,816,447,658,182,3,14,137,3,21,35,2,24,140,140,8,119,52,336,8,87,63,9,14,12,5,0,685,0,6,137,0,6,7,1,0,0,2,9,6,21,10,30,0,13,12,17,10,0,0,0,0,0,9,2,0,10,28,0,40,6,0,0,140,140,8,119,52,336,8,87,63,9,14,12,5,0,685,0,6,137,0,6,222,7,6,44,1,0,2,9,6,21,10,30,0,13,17,10,0,0,0,0,9,0,2,0,70,10,28,0,0,0,1992,582,95,0,malicious,-0.256494781502289,0.256494781502289,1
152,1778300353.757,1778300363.757,combined_manual,2337,8951,3.830124090714592,2132,0.912280701754386,674,623,1735,358,23,13,64,91,5,6,3,576,176,1528,1649,489,1362,50,75,101,30,0,0,0,51,61,57,674,7,454,17,363,25,23,244,0,244,0,0,41,2,2,29,0,0,1,0,14,30,23,6,7,7,0,0,2093,22,22,22,22,15,15,14,14,4,3,0,84,634,454,744,52,1,7,244,6,24,58,1,7,70,58,14,0,24,615,30,47,27,4,0,12,0,0,542,0,0,244,0,10,0,1,8,0,0,12,3,15,7,21,2,9,7,9,9,0,0,0,0,0,0,0,0,7,21,0,28,6,0,0,70,58,14,0,24,615,30,47,27,4,0,12,0,0,534,0,0,244,0,10,164,0,6,28,1,8,0,12,3,15,7,21,2,9,9,9,0,0,0,0,0,0,0,0,49,7,21,0,0,1,1665,455,217,0,malicious,-0.2346683806585165,0.2346683806585165,1
159,1778300423.757,1778300433.757,combined_manual,2376,9902,4.167508417508418,2728,1.148148148148148,711,660,1837,354,22,12,66,87,4,5,3,619,177,1310,1351,402,1056,39,184,110,0,0,0,1,51,139,287,711,3,352,8,276,33,26,196,8,185,0,3,26,0,0,25,0,1,0,0,16,34,25,4,8,8,0,0,2191,18,17,18,17,9,9,16,16,1,0,0,434,684,352,598,37,5,8,185,3,19,42,0,4,133,236,6,91,54,369,10,74,57,4,0,0,0,6,586,5,0,185,0,6,0,1,0,1,0,6,0,16,8,24,0,9,8,13,8,0,0,0,0,0,0,2,0,8,18,0,32,0,1,0,133,236,6,91,54,369,10,74,57,4,0,0,0,6,586,5,0,185,0,6,182,0,1,32,1,0,0,6,0,16,8,24,0,9,13,8,0,0,0,0,0,0,2,0,3,8,18,1,0,0,1841,386,149,0,malicious,-0.2300165721019489,0.2300165721019489,1
139,1778300223.757,1778300233.757,combined_manual,3816,16595,4.348794549266247,4498,1.178721174004193,1569,1422,3015,578,21,8,49,67,4,5,3,1314,424,3044,2933,901,2040,71,132,315,25,4,0,0,147,94,89,1569,6,680,12,378,12,34,321,7,223,0,3,49,0,0,50,0,1,0,0,50,100,75,0,24,24,15,0,3593,25,26,25,25,0,0,49,48,0,0,0,160,1523,680,1023,66,5,24,223,0,41,48,15,0,92,91,12,91,2,30,20,140,81,4,0,0,0,0,1703,0,0,223,0,11,0,0,4,3,0,0,3,49,24,72,0,27,24,33,24,0,0,0,0,0,0,1,2,24,60,0,96,0,1,0,92,91,12,91,2,30,20,140,81,4,0,0,0,0,1703,0,0,223,0,11,529,0,3,96,0,4,0,0,3,49,24,72,0,27,33,24,0,0,0,0,0,0,1,2,0,24,60,1,0,0,3571,76,169,0,malicious,-0.2246575276929596,0.2246575276929596,1
177,1778300603.757,1778300613.757,combined_manual,3385,14333,4.23426883308715,3792,1.1202363367799113,1353,1221,2661,464,20,13,54,76,4,5,3,1102,367,2730,2653,879,1893,56,30,275,0,0,0,0,132,39,40,1353,4,631,16,365,16,30,296,0,260,0,0,46,1,0,47,0,0,0,0,44,84,63,4,21,23,0,0,3125,24,24,24,24,3,3,42,40,1,1,0,33,1310,631,945,66,0,21,260,10,33,71,0,5,47,68,6,0,0,138,16,119,69,3,0,0,0,0,1478,0,0,260,0,3,0,0,0,12,0,20,0,42,21,63,0,21,21,21,22,0,0,0,0,0,0,0,0,21,43,0,84,0,0,0,47,68,6,0,0,138,16,119,69,3,0,0,0,0,1478,0,0,260,0,3,468,0,12,88,0,0,0,20,0,42,21,63,0,21,21,22,0,0,0,0,0,0,0,0,3,21,43,0,0,0,3054,122,209,0,malicious,-0.2221588938636143,0.2221588938636143,1
145,1778300283.757,1778300293.757,combined_manual,3659,16044,4.38480459141842,4460,1.2189122711123257,1429,1297,2875,584,23,8,41,58,4,4,3,1198,364,2635,2523,814,1830,20,212,286,0,0,0,29,132,163,226,1429,3,610,15,333,12,33,288,7,200,0,3,44,1,1,44,0,1,1,0,44,90,67,0,22,22,0,0,3459,23,22,23,22,0,0,44,44,0,0,0,391,1393,610,910,48,7,22,200,0,29,44,1,0,162,201,6,91,54,0,22,148,99,5,15,12,0,0,1550,0,0,200,0,6,6,1,2,0,0,0,3,44,22,66,2,22,23,22,23,0,0,0,0,0,0,1,0,22,51,0,88,0,0,0,162,201,6,91,54,0,22,148,99,5,15,12,0,0,1550,0,0,200,0,6,485,6,0,88,1,2,0,0,3,44,22,66,2,22,22,23,0,0,0,0,0,0,1,0,0,22,51,0,0,0,3370,42,117,130,malicious,-0.2167015214339391,0.2167015214339391,1
176,1778300593.757,1778300603.757,combined_manual,3693,15918,4.310316815597076,4213,1.140806932033577,1509,1350,2856,618,16,9,47,67,4,4,3,1217,397,2977,2829,974,2199,6,86,313,0,0,0,27,159,93,41,1509,3,733,6,370,0,24,322,0,219,0,0,49,0,0,52,0,0,0,0,52,96,72,0,24,28,0,0,3474,24,24,24,24,0,0,48,50,1,0,0,105,1472,733,1013,37,0,24,219,0,37,52,1,0,101,73,5,0,2,0,8,128,81,5,0,0,45,12,1762,10,0,219,0,0,0,2,0,17,1,0,3,50,26,74,0,24,24,24,24,0,1,1,1,0,0,0,0,24,49,0,96,6,0,0,101,73,5,0,2,0,8,128,81,5,0,0,45,12,1762,10,0,219,0,0,528,0,23,104,2,0,1,0,3,50,26,74,0,24,24,24,1,1,1,0,0,0,0,0,3,24,49,0,0,0,3379,139,175,0,malicious,-0.2160294663398068,0.2160294663398068,1
181,1778300643.757,1778300653.757,combined_manual,2854,11708,4.102312543798178,2974,1.0420462508759636,1022,923,2210,451,17,11,39,59,4,5,3,846,280,2134,2086,615,1620,36,115,211,6,0,0,0,99,98,31,1022,6,540,30,374,0,16,286,0,193,0,0,41,0,0,39,1,0,0,0,31,64,48,0,16,18,0,0,2661,24,24,24,24,8,8,32,32,1,0,0,102,997,540,883,42,0,16,193,0,25,34,0,0,111,52,12,0,0,328,34,95,55,6,0,0,5,0,1139,0,6,193,0,0,0,0,2,3,2,0,3,32,16,49,0,17,17,16,16,1,0,0,0,0,0,0,0,16,32,0,64,0,0,0,111,52,12,0,0,328,34,95,55,6,0,0,5,0,1139,0,6,193,0,0,353,0,3,68,0,2,2,0,3,32,16,49,0,17,16,16,0,0,0,1,0,0,0,0,3,16,32,0,0,0,2396,292,154,12,malicious,-0.2089982412022011,0.2089982412022011,1
160,1778300433.757,1778300443.757,combined_manual,2649,9604,3.6255190637976593,2072,0.7821819554548887,694,664,2025,404,17,11,46,67,4,5,3,632,146,1663,1947,200,1480,0,84,66,0,0,0,74,30,83,84,694,0,489,3,568,1,5,355,0,220,0,0,40,0,0,39,0,0,0,0,10,20,15,0,5,5,0,0,2429,34,34,34,34,29,29,10,10,1,0,0,94,657,489,1047,76,1,18,220,0,35,11,0,0,91,117,0,0,2,1189,4,31,17,4,14,0,5,0,360,0,0,220,0,0,0,2,0,0,1,0,3,11,7,16,0,6,5,5,5,1,1,1,1,0,0,0,0,5,10,0,20,0,0,0,91,117,0,0,2,1189,4,31,17,4,14,0,5,0,360,0,0,220,0,0,111,0,6,20,2,0,1,0,3,11,7,16,0,6,5,5,1,1,1,1,0,0,0,0,3,5,10,0,0,0,1053,1387,209,0,malicious,-0.2045869074110808,0.2045869074110808,1
180,1778300633.757,1778300643.757,combined_manual,1199,5515,4.599666388657214,1736,1.4478732276897417,256,244,997,183,17,9,32,51,4,4,3,237,37,244,230,95,198,22,147,27,0,0,0,0,12,137,363,256,252,66,10,32,0,2,28,0,19,0,0,5,0,0,5,0,0,1,0,5,8,6,0,2,2,0,0,1180,2,2,2,2,0,0,4,4,1,0,0,741,254,66,89,22,0,2,19,0,2,4,0,0,148,328,254,0,74,0,20,35,33,5,0,0,0,0,157,0,0,19,0,0,6,6,0,0,2,0,0,6,6,7,0,3,2,2,2,0,2,2,2,0,0,0,0,2,4,0,8,0,0,0,148,328,254,0,74,0,20,35,33,5,0,0,0,0,157,0,0,19,0,0,44,6,0,8,6,0,2,0,0,6,6,7,0,3,2,2,2,2,2,0,0,0,0,0,3,2,4,0,0,0,774,1,2,422,malicious,-0.1916537226960299,0.1916537226960299,1
