sequence_id,segment_id,start_timestamp,end_timestamp,start_event_id,end_event_id,event_count,benign_event_count,malicious_event_count,sequence_label,y
0,20260508_211655_create_user_Tyu1u6,1778300214.240000,1778300214.327000,10978,11027,50,50,0,benign,0
1,20260508_211655_create_user_Tyu1u6,1778300214.242000,1778300214.437000,10988,11037,50,50,0,benign,0
2,20260508_211655_create_user_Tyu1u6,1778300214.242000,1778300214.438000,10998,11047,50,50,0,benign,0
3,20260508_211655_create_user_Tyu1u6,1778300214.246000,1778300214.461000,11008,11057,50,50,0,benign,0
4,20260508_211655_create_user_Tyu1u6,1778300214.250000,1778300214.463000,11018,11067,50,50,0,benign,0
5,20260508_211655_create_user_Tyu1u6,1778300214.327000,1778300214.478000,11028,11077,50,50,0,benign,0
6,20260508_211655_create_user_Tyu1u6,1778300214.438000,1778300214.490000,11038,11087,50,50,0,benign,0
7,20260508_211655_create_user_Tyu1u6,1778300214.438000,1778300214.756000,11048,11097,50,50,0,benign,0
8,20260508_211655_create_user_Tyu1u6,1778300214.461000,1778300214.765000,11058,11107,50,50,0,benign,0
9,20260508_211655_create_user_Tyu1u6,1778300214.463000,1778300214.776000,11068,11117,50,50,0,benign,0
10,20260508_211655_create_user_Tyu1u6,1778300214.479000,1778300214.782000,11078,11127,50,50,0,benign,0
11,20260508_211655_create_user_Tyu1u6,1778300214.493000,1778300214.795000,11088,11137,50,50,0,benign,0
12,20260508_211655_create_user_Tyu1u6,1778300214.756000,1778300214.799000,11098,11147,50,50,0,benign,0
13,20260508_211655_create_user_Tyu1u6,1778300214.765000,1778300214.807000,11108,11157,50,50,0,benign,0
14,20260508_211655_create_user_Tyu1u6,1778300214.777000,1778300214.810000,11118,11167,50,50,0,benign,0
15,20260508_211655_create_user_Tyu1u6,1778300214.784000,1778300214.840000,11128,11177,50,50,0,benign,0
16,20260508_211655_create_user_Tyu1u6,1778300214.796000,1778300214.942000,11138,11187,50,50,0,benign,0
17,20260508_211655_create_user_Tyu1u6,1778300214.800000,1778300214.950000,11148,11197,50,50,0,benign,0
18,20260508_211655_create_user_Tyu1u6,1778300214.808000,1778300214.966000,11158,11207,50,50,0,benign,0
19,20260508_211655_create_user_Tyu1u6,1778300214.810000,1778300214.986000,11168,11217,50,50,0,benign,0
20,20260508_211655_create_user_Tyu1u6,1778300214.840000,1778300214.994000,11178,11227,50,50,0,benign,0
21,20260508_211655_create_user_Tyu1u6,1778300214.942000,1778300215.004000,11188,11237,50,50,0,benign,0
22,20260508_211655_create_user_Tyu1u6,1778300214.957000,1778300215.016000,11198,11247,50,50,0,benign,0
23,20260508_211655_create_user_Tyu1u6,1778300214.966000,1778300215.026000,11208,11257,50,50,0,benign,0
24,20260508_211655_create_user_Tyu1u6,1778300214.987000,1778300215.035000,11218,11267,50,50,0,benign,0
25,20260508_211655_create_user_Tyu1u6,1778300214.995000,1778300215.041000,11228,11277,50,50,0,benign,0
26,20260508_211655_create_user_Tyu1u6,1778300215.005000,1778300215.044000,11238,11287,50,50,0,benign,0
27,20260508_211655_create_user_Tyu1u6,1778300215.017000,1778300215.052000,11248,11297,50,50,0,benign,0
28,20260508_211655_create_user_Tyu1u6,1778300215.026000,1778300215.142000,11258,11309,50,50,0,benign,0
