tp,tn,fp,fn,precision,recall,f1,fpr,tnr,accuracy,threshold,predicted_positive
1,661,0,120,1.0,0.008264462809917356,0.01639344262295082,0.0,1.0,0.8465473145780051,0.99982363,1
2,661,0,119,1.0,0.01652892561983471,0.032520325203252036,0.0,1.0,0.8478260869565217,0.99981993,2
3,661,0,118,1.0,0.024793388429752067,0.048387096774193554,0.0,1.0,0.8491048593350383,0.9998136,3
4,661,0,117,1.0,0.03305785123966942,0.06400000000000002,0.0,1.0,0.850383631713555,0.9998084,4
5,661,0,116,1.0,0.04132231404958678,0.07936507936507936,0.0,1.0,0.8516624040920716,0.99979836,5
6,661,0,115,1.0,0.049586776859504134,0.09448818897637795,0.0,1.0,0.8529411764705882,0.99979264,6
7,661,0,114,1.0,0.05785123966942149,0.109375,0.0,1.0,0.8542199488491049,0.99978286,7
8,661,0,113,1.0,0.06611570247933884,0.12403100775193798,0.0,1.0,0.8554987212276215,0.99978095,8
9,661,0,112,1.0,0.0743801652892562,0.13846153846153847,0.0,1.0,0.8567774936061381,0.99975544,9
10,661,0,111,1.0,0.08264462809917356,0.15267175572519084,0.0,1.0,0.8580562659846548,0.99975246,10
11,661,0,110,1.0,0.09090909090909091,0.16666666666666669,0.0,1.0,0.8593350383631714,0.9997453,11
12,661,0,109,1.0,0.09917355371900827,0.18045112781954886,0.0,1.0,0.860613810741688,0.99974316,12
13,661,0,108,1.0,0.10743801652892562,0.19402985074626863,0.0,1.0,0.8618925831202046,0.9997427,13
14,661,0,107,1.0,0.11570247933884298,0.2074074074074074,0.0,1.0,0.8631713554987213,0.99971825,14
15,661,0,106,1.0,0.12396694214876033,0.22058823529411764,0.0,1.0,0.8644501278772379,0.9996896,15
16,661,0,105,1.0,0.1322314049586777,0.23357664233576642,0.0,1.0,0.8657289002557544,0.9996773,16
17,661,0,104,1.0,0.14049586776859505,0.2463768115942029,0.0,1.0,0.8670076726342711,0.99964035,17
18,661,0,103,1.0,0.1487603305785124,0.2589928057553957,0.0,1.0,0.8682864450127877,0.9996189,18
19,661,0,102,1.0,0.15702479338842976,0.27142857142857146,0.0,1.0,0.8695652173913043,0.9996068,19
20,661,0,101,1.0,0.1652892561983471,0.28368794326241137,0.0,1.0,0.870843989769821,0.9995931,20
21,661,0,100,1.0,0.17355371900826447,0.29577464788732394,0.0,1.0,0.8721227621483376,0.99957865,21
