timestamp,event_id,syscall,syscall_num,success,exit,comm,exe,command,argc,cwd,path,uid,euid,auid,gid,egid,pid,ppid,tty,ses,key
1777865674.614,4078,sendto,44,yes,60,auditd,/usr/sbin/auditd,,,,,0,0,4294967295,0,0,13054,13053,(none),4294967295,(null)
1777865674.614,4079,execve,59,yes,0,9,/usr/lib/systemd/systemd-executor,/usr/lib/systemd/systemd-executor --deserialize c --log-level info --log-target journal-or-kmsg,7,/,/proc/self/fd/9,0,0,4294967295,0,0,13057,1,(none),4294967295,exec
1777865674.617,4080,connect,42,yes,0,9,/usr/lib/systemd/systemd-executor,,,/,/run/systemd/journal/socket,0,0,4294967295,0,0,13057,1,(none),4294967295,network_connect
1777865674.619,4081,connect,42,yes,0,(genrules),/usr/lib/systemd/systemd-executor,,,/,/run/systemd/journal/stdout,0,0,4294967295,0,0,13057,1,(none),4294967295,network_connect
1777865674.626,4082,execve,59,yes,0,augenrules,/usr/bin/dash,/bin/sh /sbin/augenrules --load,3,/,/sbin/augenrules,0,0,4294967295,0,0,13057,1,(none),4294967295,exec
1777865674.628,4083,execve,59,yes,0,mktemp,/usr/bin/mktemp,mktemp /tmp/aurules.XXXXXXXX,2,/,/usr/bin/mktemp,0,0,4294967295,0,0,13059,13057,(none),4294967295,exec
1777865674.629,4084,openat,257,yes,3,mktemp,/usr/bin/mktemp,,,/,/tmp/,0,0,4294967295,0,0,13059,13057,(none),4294967295,tmp_activity
1777865674.629,4085,openat,257,yes,3,augenrules,/usr/bin/dash,,,/,/tmp/,0,0,4294967295,0,0,13057,1,(none),4294967295,tmp_activity
1777865674.630,4086,openat,257,yes,3,augenrules,/usr/bin/dash,,,/,/tmp/,0,0,4294967295,0,0,13062,13057,(none),4294967295,tmp_activity
1777865674.630,4087,execve,59,yes,0,awk,/usr/bin/gawk,"awk BEGIN { minus_e = """"; minus_D = """"; minus_f = """"; minus_b = """"; rest = 0; } { sub(/\r$/, """"); if (length($0) < 1) { next; } if (match($0, ""^\\s*#"")) { next; } if (match($0, ""^\\s*-e"")) { minus_e = $0; next; } if (match($0, ""^\\s*-D\\s*$"")) { minus_D = $0; next; } if (match($0, ""^\\s*-f"")) { minu...",2,/,/usr/bin/awk,0,0,4294967295,0,0,13062,13057,(none),4294967295,exec
1777865674.632,4088,execve,59,yes,0,grep,/usr/bin/grep,grep \.rules$,2,/,/usr/bin/grep,0,0,4294967295,0,0,13064,13061,(none),4294967295,exec
1777865674.632,4089,execve,59,yes,0,ls,/usr/bin/ls,/bin/ls -1v /etc/audit/rules.d,3,/,/bin/ls,0,0,4294967295,0,0,13063,13061,(none),4294967295,exec
1777865674.635,4090,execve,59,yes,0,cat,/usr/bin/cat,cat /etc/audit/rules.d/audit.rules,2,/,/usr/bin/cat,0,0,4294967295,0,0,13065,13060,(none),4294967295,exec
1777865674.636,4091,execve,59,yes,0,cmp,/usr/bin/cmp,cmp -s /tmp/aurules.Aj7FZQNy /etc/audit/audit.rules,4,/,/usr/bin/cmp,0,0,4294967295,0,0,13066,13057,(none),4294967295,exec
1777865674.640,4092,execve,59,yes,0,rm,/usr/bin/rm,rm -f /tmp/aurules.Aj7FZQNy,3,/,/usr/bin/rm,0,0,4294967295,0,0,13067,13057,(none),4294967295,exec
1777865674.640,4093,unlinkat,263,yes,0,rm,/usr/bin/rm,,,/,/tmp/,0,0,4294967295,0,0,13067,13057,(none),4294967295,tmp_activity
1777865674.642,4094,execve,59,yes,0,auditctl,/usr/sbin/auditctl,/sbin/auditctl -R /etc/audit/audit.rules,3,/,/sbin/auditctl,0,0,4294967295,0,0,13068,13057,(none),4294967295,exec
1777865674.645,4095,sendto,44,yes,1060,auditctl,/usr/sbin/auditctl,,,,,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.645,4096,sendto,44,yes,1072,auditctl,/usr/sbin/auditctl,,,,,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.645,4097,sendto,44,yes,1076,auditctl,/usr/sbin/auditctl,,,,,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.645,4098,sendto,44,yes,1072,auditctl,/usr/sbin/auditctl,,,,,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.645,4099,sendto,44,yes,1072,auditctl,/usr/sbin/auditctl,,,,,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.645,4100,sendto,44,yes,1076,auditctl,/usr/sbin/auditctl,,,,,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.646,4101,sendto,44,yes,1076,auditctl,/usr/sbin/auditctl,,,,,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.646,4102,sendto,44,yes,1076,auditctl,/usr/sbin/auditctl,,,,,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.646,4103,sendto,44,yes,1076,auditctl,/usr/sbin/auditctl,,,,,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.646,4104,sendto,44,yes,1076,auditctl,/usr/sbin/auditctl,,,,,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.646,4105,sendto,44,yes,1076,auditctl,/usr/sbin/auditctl,,,,,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.646,4106,sendto,44,yes,1080,auditctl,/usr/sbin/auditctl,,,,,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.646,4107,sendto,44,yes,1080,auditctl,/usr/sbin/auditctl,,,,,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.646,4108,sendto,44,yes,1088,auditctl,/usr/sbin/auditctl,,,,,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.646,4109,sendto,44,yes,1088,auditctl,/usr/sbin/auditctl,,,,,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.647,4110,sendto,44,yes,1092,auditctl,/usr/sbin/auditctl,,,,,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.647,4111,sendto,44,yes,1080,auditctl,/usr/sbin/auditctl,,,,,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.647,4112,sendto,44,yes,1084,auditctl,/usr/sbin/auditctl,,,/,/usr/bin/,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.647,4113,sendto,44,yes,1084,auditctl,/usr/sbin/auditctl,,,/,/usr/bin/,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.647,4114,sendto,44,yes,1084,auditctl,/usr/sbin/auditctl,,,/,/usr/bin/,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.647,4115,sendto,44,yes,1084,auditctl,/usr/sbin/auditctl,,,/,/usr/bin/,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.647,4116,sendto,44,yes,1068,auditctl,/usr/sbin/auditctl,,,,,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.647,4117,sendto,44,yes,1068,auditctl,/usr/sbin/auditctl,,,,,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.647,4118,sendto,44,yes,1080,auditctl,/usr/sbin/auditctl,,,/,/usr/bin/,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.648,4119,sendto,44,yes,1076,auditctl,/usr/sbin/auditctl,,,/,/bin/,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.648,4120,sendto,44,yes,1076,auditctl,/usr/sbin/auditctl,,,/,/bin/,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.648,4121,sendto,44,yes,1076,auditctl,/usr/sbin/auditctl,,,/,/usr/bin/,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.648,4122,sendto,44,yes,1076,auditctl,/usr/sbin/auditctl,,,/,/usr/bin/,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.648,4123,sendto,44,yes,1076,auditctl,/usr/sbin/auditctl,,,/,/usr/bin/,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.648,4124,sendto,44,yes,1080,auditctl,/usr/sbin/auditctl,,,/,/usr/bin/,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.648,4125,sendto,44,yes,1080,auditctl,/usr/sbin/auditctl,,,/,/usr/bin/,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.648,4126,sendto,44,yes,1080,auditctl,/usr/sbin/auditctl,,,/,/usr/bin/,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.649,4127,sendto,44,yes,1072,auditctl,/usr/sbin/auditctl,,,,,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.649,4128,sendto,44,yes,60,auditctl,/usr/sbin/auditctl,,,,,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.649,4129,sendto,44,yes,1060,auditctl,/usr/sbin/auditctl,,,,,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.649,4130,sendto,44,yes,1072,auditctl,/usr/sbin/auditctl,,,/,/etc,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.650,4131,sendto,44,yes,1076,auditctl,/usr/sbin/auditctl,,,/,/usr/bin,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.650,4132,sendto,44,yes,1072,auditctl,/usr/sbin/auditctl,,,/,/bin,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.651,4133,sendto,44,yes,1072,auditctl,/usr/sbin/auditctl,,,/,/tmp,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.651,4134,sendto,44,yes,1076,auditctl,/usr/sbin/auditctl,,,/,/var/tmp,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.651,4135,sendto,44,yes,1076,auditctl,/usr/sbin/auditctl,,,/,/dev/shm,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.651,4136,sendto,44,yes,1076,auditctl,/usr/sbin/auditctl,,,/,/home,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.651,4137,sendto,44,yes,1076,auditctl,/usr/sbin/auditctl,,,/,/etc/,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.651,4138,sendto,44,yes,1076,auditctl,/usr/sbin/auditctl,,,/,/etc/,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.652,4139,sendto,44,yes,1076,auditctl,/usr/sbin/auditctl,,,/,/etc/,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.652,4140,sendto,44,yes,1080,auditctl,/usr/sbin/auditctl,,,/,/etc/cron.d,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.653,4141,sendto,44,yes,1080,auditctl,/usr/sbin/auditctl,,,/,/etc/,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.653,4142,sendto,44,yes,1088,auditctl,/usr/sbin/auditctl,,,/,/etc/systemd/system,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.653,4143,sendto,44,yes,1088,auditctl,/usr/sbin/auditctl,,,/,/lib/systemd/system,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.653,4144,sendto,44,yes,1092,auditctl,/usr/sbin/auditctl,,,/,/usr/lib/systemd/system,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.653,4145,sendto,44,yes,1080,auditctl,/usr/sbin/auditctl,,,/,/root/.ssh,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.654,4146,sendto,44,yes,1084,auditctl,/usr/sbin/auditctl,,,/,/usr/bin/,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.654,4147,sendto,44,yes,1084,auditctl,/usr/sbin/auditctl,,,/,/usr/bin/,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.654,4148,sendto,44,yes,1084,auditctl,/usr/sbin/auditctl,,,/,/usr/bin/,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.654,4149,sendto,44,yes,1084,auditctl,/usr/sbin/auditctl,,,/,/usr/bin/,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.655,4150,sendto,44,yes,1068,auditctl,/usr/sbin/auditctl,,,,,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.655,4151,sendto,44,yes,1068,auditctl,/usr/sbin/auditctl,,,,,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.655,4152,sendto,44,yes,1080,auditctl,/usr/sbin/auditctl,,,/,/usr/bin/,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.655,4153,sendto,44,yes,1076,auditctl,/usr/sbin/auditctl,,,/,/bin/,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.655,4154,sendto,44,yes,1076,auditctl,/usr/sbin/auditctl,,,/,/bin/,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.655,4155,sendto,44,yes,1076,auditctl,/usr/sbin/auditctl,,,/,/usr/bin/,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.655,4156,sendto,44,yes,1076,auditctl,/usr/sbin/auditctl,,,/,/usr/bin/,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.655,4157,sendto,44,yes,1076,auditctl,/usr/sbin/auditctl,,,/,/usr/bin/,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.655,4158,sendto,44,yes,1080,auditctl,/usr/sbin/auditctl,,,/,/usr/bin/,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.655,4159,sendto,44,yes,1080,auditctl,/usr/sbin/auditctl,,,/,/usr/bin/,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.655,4160,sendto,44,yes,1080,auditctl,/usr/sbin/auditctl,,,/,/usr/bin/,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865674.655,4161,sendto,44,yes,1072,auditctl,/usr/sbin/auditctl,,,,,0,0,4294967295,0,0,13068,13057,(none),4294967295,(null)
1777865678.292,4165,execve,59,yes,0,sudo,/usr/bin/sudo,sudo systemctl status auditd,4,/home/analyst,/usr/bin/sudo,1000,0,1000,1000,1000,13075,13033,pts2,14,exec
1777865678.295,4166,connect,42,no,-2,sudo,/usr/bin/sudo,,,/home/analyst,/var/run/nscd/socket,1000,0,1000,1000,1000,13075,13033,pts2,14,network_connect
1777865678.295,4167,connect,42,no,-2,sudo,/usr/bin/sudo,,,/home/analyst,/var/run/nscd/socket,1000,0,1000,1000,1000,13075,13033,pts2,14,network_connect
1777865678.296,4168,connect,42,no,-2,sudo,/usr/bin/sudo,,,/home/analyst,/var/run/nscd/socket,0,0,1000,1000,0,13075,13033,pts2,14,network_connect
1777865678.296,4169,connect,42,no,-2,sudo,/usr/bin/sudo,,,/home/analyst,/var/run/nscd/socket,0,0,1000,1000,0,13075,13033,pts2,14,network_connect
1777865678.296,4170,connect,42,yes,0,sudo,/usr/bin/sudo,,,,,0,0,1000,1000,0,13075,13033,pts2,14,network_connect
1777865678.302,4171,connect,42,yes,0,sudo,/usr/bin/sudo,,,,,0,0,1000,1000,0,13075,13033,pts2,14,network_connect
1777865678.302,4172,connect,42,yes,0,sudo,/usr/bin/sudo,,,,,0,0,1000,1000,0,13075,13033,pts2,14,network_connect
1777865678.302,4173,connect,42,no,-22,sudo,/usr/bin/sudo,,,,,0,0,1000,1000,0,13075,13033,pts2,14,network_connect
1777865678.302,4174,connect,42,no,-2,sudo,/usr/bin/sudo,,,/home/analyst,/var/run/nscd/socket,1000,0,1000,1000,0,13075,13033,pts2,14,network_connect
1777865678.302,4175,connect,42,no,-2,sudo,/usr/bin/sudo,,,/home/analyst,/var/run/nscd/socket,1000,0,1000,1000,0,13075,13033,pts2,14,network_connect
1777865678.303,4177,openat,257,no,-17,sudo,/usr/bin/sudo,,,/home/analyst,/home/analyst/,1000,1000,1000,1000,1000,13075,13033,pts2,14,home_activity
1777865678.303,4178,connect,42,yes,0,sudo,/usr/bin/sudo,,,/home/analyst,/dev/log,1000,0,1000,1000,1000,13075,13033,pts2,14,network_connect
1777865678.303,4180,chown,92,yes,0,sudo,/usr/bin/sudo,,,/home/analyst,/dev/pts/3,1000,0,1000,1000,1000,13075,13033,pts2,14,owner_change
1777865678.306,4183,execve,59,yes,0,systemctl,/usr/bin/systemctl,systemctl status auditd,3,/home/analyst,/usr/bin/systemctl,0,0,1000,0,0,13077,13076,pts3,14,exec
1777865678.307,4184,connect,42,yes,0,systemctl,/usr/bin/systemctl,,,/home/analyst,/run/systemd/private,0,0,1000,0,0,13077,13076,pts3,14,network_connect
