run_id,chain_id,target,delivery,payload,category,privilege,target_start_epoch,target_end_epoch,target_start_iso,target_end_iso,success,metadata_path
"20260508_211655_create_user_Tyu1u6","20260508_211655_dirtyfrag_root_authorized_keys_X5ChW3","analyst@192.168.52.144","ssh_stdin","persistence_auth/create_user","persistence_auth","sudo","1778300215.048585578","1778300216.263166641","2026-05-09T04:16:55+00:00","2026-05-09T04:16:56+00:00","true","/home/alex/AegisTriage/attack_framework/runs/20260508_211655_create_user_Tyu1u6/metadata.txt"
"20260508_211658_root_dirtyfrag_t1hRDK","20260508_211655_dirtyfrag_root_authorized_keys_X5ChW3","192.168.52.144","ssh_auth","priv_esc/root_dirtyfrag","priv_esc","user","1778300217.612983566","1778300226.964802397","2026-05-09T04:16:57+00:00","2026-05-09T04:17:06+00:00","true","/home/alex/AegisTriage/attack_framework/runs/20260508_211658_root_dirtyfrag_t1hRDK/metadata.txt"
"20260508_211709_authorized_keys_W9jmSO","20260508_211655_dirtyfrag_root_authorized_keys_X5ChW3","192.168.52.144","root_session","persistence_auth/authorized_keys","persistence_auth","sudo","1778300228.211456878","1778300230.978939899","2026-05-09T04:17:08+00:00","2026-05-09T04:17:10+00:00","true","/home/alex/AegisTriage/attack_framework/runs/20260508_211709_authorized_keys_W9jmSO/metadata.txt"
"20260508_211713_sudoers_mod_zCim6D","20260508_211655_dirtyfrag_root_authorized_keys_X5ChW3","192.168.52.144","root_session","priv_esc/sudoers_mod","priv_esc","sudo","1778300232.099731319","1778300235.095391296","2026-05-09T04:17:12+00:00","2026-05-09T04:17:15+00:00","true","/home/alex/AegisTriage/attack_framework/runs/20260508_211713_sudoers_mod_zCim6D/metadata.txt"
"20260508_211801_root_copyfail_YGhMdA","20260508_211801_copyfail_to_suid_backdoors_uMlflR","192.168.52.144","ssh_auth","priv_esc/root_copyfail","priv_esc","user","1778300280.675303307","1778300285.447358945","2026-05-09T04:18:00+00:00","2026-05-09T04:18:05+00:00","true","/home/alex/AegisTriage/attack_framework/runs/20260508_211801_root_copyfail_YGhMdA/metadata.txt"
"20260508_211807_suid_tool_backdoors_FkycdZ","20260508_211801_copyfail_to_suid_backdoors_uMlflR","192.168.52.144","root_session","priv_esc/suid_tool_backdoors","priv_esc","sudo","1778300286.712776142","1778300289.589252641","2026-05-09T04:18:06+00:00","2026-05-09T04:18:09+00:00","true","/home/alex/AegisTriage/attack_framework/runs/20260508_211807_suid_tool_backdoors_FkycdZ/metadata.txt"
"20260508_211915_authorized_keys_global_dfUxF3","20260508_211915_bind_global_authorized_keys_r8aNXj","192.168.52.144","bind_shell/bash_auto","persistence_auth/authorized_keys_global","persistence_auth","sudo","1778300355.185437784","1778300360.600825261","2026-05-09T04:19:15+00:00","2026-05-09T04:19:20+00:00","true","/home/alex/AegisTriage/attack_framework/runs/20260508_211915_authorized_keys_global_dfUxF3/metadata.txt"
"20260508_212024_systemd_watershell_SneJlG","20260508_212024_reverse_watershell_firewall_disable_Pe1og8","192.168.52.144","windows_ncat_auto","persistence_tasks/systemd_watershell","persistence_tasks","sudo","1778300424.103787895","1778300431.528952359","2026-05-09T04:20:24+00:00","2026-05-09T04:20:31+00:00","true","/home/alex/AegisTriage/attack_framework/runs/20260508_212024_systemd_watershell_SneJlG/metadata.txt"
"20260508_212033_firewall_disable_JITTWV","20260508_212024_reverse_watershell_firewall_disable_Pe1og8","192.168.52.144","windows_ncat_auto","vandalism/firewall_disable","vandalism","sudo","1778300432.748716150","1778300440.079052547","2026-05-09T04:20:32+00:00","2026-05-09T04:20:40+00:00","true","/home/alex/AegisTriage/attack_framework/runs/20260508_212033_firewall_disable_JITTWV/metadata.txt"
"20260508_212317_basic_enum_YrdGDI","20260508_212317_suid_exec_dns_vandalism_9o1sm3","192.168.52.144","suid_exec","recon/basic_enum","recon","user","1778300596.480870828","1778300600.252738333","2026-05-09T04:23:16+00:00","2026-05-09T04:23:20+00:00","true","/home/alex/AegisTriage/attack_framework/runs/20260508_212317_basic_enum_YrdGDI/metadata.txt"
"20260508_212322_dns_disable_I1iKIM","20260508_212317_suid_exec_dns_vandalism_9o1sm3","192.168.52.144","suid_exec","vandalism/dns_disable","vandalism","sudo","1778300601.410092023","1778300605.591691146","2026-05-09T04:23:21+00:00","2026-05-09T04:23:25+00:00","true","/home/alex/AegisTriage/attack_framework/runs/20260508_212322_dns_disable_I1iKIM/metadata.txt"
"20260508_212327_dns_tamper_i0Hbez","20260508_212317_suid_exec_dns_vandalism_9o1sm3","192.168.52.144","suid_exec","vandalism/dns_tamper","vandalism","sudo","1778300606.728819246","1778300610.488850522","2026-05-09T04:23:26+00:00","2026-05-09T04:23:30+00:00","true","/home/alex/AegisTriage/attack_framework/runs/20260508_212327_dns_tamper_i0Hbez/metadata.txt"
"20260508_212404_nginx_delete_YuCbYY","20260508_212404_scp_nginx_dns_delete_CMzhrV","192.168.52.144","scp_then_ssh","vandalism/nginx_delete","vandalism","sudo","1778300643.585111094","1778300645.553541016","2026-05-09T04:24:03+00:00","2026-05-09T04:24:05+00:00","true","/home/alex/AegisTriage/attack_framework/runs/20260508_212404_nginx_delete_YuCbYY/metadata.txt"
"20260508_212407_dns_delete_9ci3sG","20260508_212404_scp_nginx_dns_delete_CMzhrV","192.168.52.144","scp_then_ssh","vandalism/dns_delete","vandalism","sudo","1778300646.681464511","1778300648.705233441","2026-05-09T04:24:06+00:00","2026-05-09T04:24:08+00:00","true","/home/alex/AegisTriage/attack_framework/runs/20260508_212407_dns_delete_9ci3sG/metadata.txt"
