seconds_from_attack_start,attack_payload,attack_delivery,syscall,key,comm,command,proctitle,cwd,manual_label,manual_note,timestamp,event_id,anchor_phase,attack_run_id,attack_chain_id,attack_category,success,exit,exe,path,paths,uid,euid,auid,pid,ppid,tty,ses
-0.653983,priv_esc/root_dirtyfrag,ssh_auth,connect,network_connect,sshd,,/usr/sbin/sshd -D -R,/,benign,,1778300216.959,12639,pre_context,20260508_211658_root_dirtyfrag_t1hRDK,20260508_211655_dirtyfrag_root_authorized_keys_X5ChW3,priv_esc,no,-2,/usr/sbin/sshd,/var/run/nscd/socket,/var/run/nscd/socket,0,0,4294967295,16216,9653,(none),4294967295
-0.653983,priv_esc/root_dirtyfrag,ssh_auth,connect,network_connect,sshd,,/usr/sbin/sshd -D -R,/,benign,,1778300216.959,12640,pre_context,20260508_211658_root_dirtyfrag_t1hRDK,20260508_211655_dirtyfrag_root_authorized_keys_X5ChW3,priv_esc,no,-2,/usr/sbin/sshd,/var/run/nscd/socket,/var/run/nscd/socket,0,0,4294967295,16216,9653,(none),4294967295
-0.653983,priv_esc/root_dirtyfrag,ssh_auth,connect,network_connect,sshd,,/usr/sbin/sshd -D -R,/,benign,,1778300216.959,12641,pre_context,20260508_211658_root_dirtyfrag_t1hRDK,20260508_211655_dirtyfrag_root_authorized_keys_X5ChW3,priv_esc,yes,0,/usr/sbin/sshd,/run/systemd/userdb/io.systemd.DynamicUser,/run/systemd/userdb/io.systemd.DynamicUser,0,0,4294967295,16216,9653,(none),4294967295
-0.652983,priv_esc/root_dirtyfrag,ssh_auth,setresgid,privilege_transition,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300216.960,12642,pre_context,20260508_211658_root_dirtyfrag_t1hRDK,20260508_211655_dirtyfrag_root_authorized_keys_X5ChW3,priv_esc,yes,0,/usr/sbin/sshd,,,0,0,4294967295,16216,9653,(none),4294967295
-0.652983,priv_esc/root_dirtyfrag,ssh_auth,setresuid,privilege_transition,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300216.960,12643,pre_context,20260508_211658_root_dirtyfrag_t1hRDK,20260508_211655_dirtyfrag_root_authorized_keys_X5ChW3,priv_esc,yes,0,/usr/sbin/sshd,,,0,1001,4294967295,16216,9653,(none),4294967295
-0.652983,priv_esc/root_dirtyfrag,ssh_auth,setresuid,privilege_transition,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300216.960,12644,pre_context,20260508_211658_root_dirtyfrag_t1hRDK,20260508_211655_dirtyfrag_root_authorized_keys_X5ChW3,priv_esc,yes,0,/usr/sbin/sshd,,,0,0,4294967295,16216,9653,(none),4294967295
-0.652983,priv_esc/root_dirtyfrag,ssh_auth,setresgid,privilege_transition,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300216.960,12645,pre_context,20260508_211658_root_dirtyfrag_t1hRDK,20260508_211655_dirtyfrag_root_authorized_keys_X5ChW3,priv_esc,yes,0,/usr/sbin/sshd,,,0,0,4294967295,16216,9653,(none),4294967295
-0.652983,priv_esc/root_dirtyfrag,ssh_auth,setresgid,privilege_transition,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300216.960,12646,pre_context,20260508_211658_root_dirtyfrag_t1hRDK,20260508_211655_dirtyfrag_root_authorized_keys_X5ChW3,priv_esc,yes,0,/usr/sbin/sshd,,,0,0,4294967295,16216,9653,(none),4294967295
-0.652983,priv_esc/root_dirtyfrag,ssh_auth,setresuid,privilege_transition,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300216.960,12647,pre_context,20260508_211658_root_dirtyfrag_t1hRDK,20260508_211655_dirtyfrag_root_authorized_keys_X5ChW3,priv_esc,yes,0,/usr/sbin/sshd,,,0,1001,4294967295,16216,9653,(none),4294967295
-0.652983,priv_esc/root_dirtyfrag,ssh_auth,setresuid,privilege_transition,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300216.960,12648,pre_context,20260508_211658_root_dirtyfrag_t1hRDK,20260508_211655_dirtyfrag_root_authorized_keys_X5ChW3,priv_esc,yes,0,/usr/sbin/sshd,,,0,0,4294967295,16216,9653,(none),4294967295
