seconds_from_attack_start,attack_payload,attack_delivery,syscall,key,comm,command,proctitle,cwd,manual_label,manual_note,timestamp,event_id,anchor_phase,attack_run_id,attack_chain_id,attack_category,success,exit,exe,path,paths,uid,euid,auid,pid,ppid,tty,ses
-0.586457,persistence_auth/authorized_keys,root_session,execve,exec,sshd,/usr/sbin/sshd -D -R,/usr/sbin/sshd -D -R,/,benign,,1778300227.625,14412,pre_context,20260508_211709_authorized_keys_W9jmSO,20260508_211655_dirtyfrag_root_authorized_keys_X5ChW3,persistence_auth,yes,0,/usr/sbin/sshd,/usr/sbin/sshd,/usr/sbin/sshd|/lib64/ld-linux-x86-64.so.2,0,0,4294967295,16845,9653,(none),4294967295
-0.583457,persistence_auth/authorized_keys,root_session,connect,network_connect,sshd,,/usr/sbin/sshd -D -R,/,benign,,1778300227.628,14413,pre_context,20260508_211709_authorized_keys_W9jmSO,20260508_211655_dirtyfrag_root_authorized_keys_X5ChW3,persistence_auth,no,-2,/usr/sbin/sshd,/var/run/nscd/socket,/var/run/nscd/socket,0,0,4294967295,16845,9653,(none),4294967295
-0.583457,persistence_auth/authorized_keys,root_session,connect,network_connect,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300227.628,14414,pre_context,20260508_211709_authorized_keys_W9jmSO,20260508_211655_dirtyfrag_root_authorized_keys_X5ChW3,persistence_auth,yes,0,/usr/sbin/sshd,,,0,0,4294967295,16845,9653,(none),4294967295
-0.583457,persistence_auth/authorized_keys,root_session,connect,network_connect,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300227.628,14415,pre_context,20260508_211709_authorized_keys_W9jmSO,20260508_211655_dirtyfrag_root_authorized_keys_X5ChW3,persistence_auth,yes,0,/usr/sbin/sshd,,,0,0,4294967295,16845,9653,(none),4294967295
-0.583457,persistence_auth/authorized_keys,root_session,connect,network_connect,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300227.628,14416,pre_context,20260508_211709_authorized_keys_W9jmSO,20260508_211655_dirtyfrag_root_authorized_keys_X5ChW3,persistence_auth,yes,0,/usr/sbin/sshd,,,0,0,4294967295,16845,9653,(none),4294967295
-0.583457,persistence_auth/authorized_keys,root_session,connect,network_connect,sshd,,/usr/sbin/sshd -D -R,/,benign,,1778300227.628,14417,pre_context,20260508_211709_authorized_keys_W9jmSO,20260508_211655_dirtyfrag_root_authorized_keys_X5ChW3,persistence_auth,no,-2,/usr/sbin/sshd,/var/run/nscd/socket,/var/run/nscd/socket,0,0,4294967295,16845,9653,(none),4294967295
-0.582457,persistence_auth/authorized_keys,root_session,connect,network_connect,sshd,,/usr/sbin/sshd -D -R,/,benign,,1778300227.629,14418,pre_context,20260508_211709_authorized_keys_W9jmSO,20260508_211655_dirtyfrag_root_authorized_keys_X5ChW3,persistence_auth,no,-2,/usr/sbin/sshd,/var/run/nscd/socket,/var/run/nscd/socket,0,0,4294967295,16845,9653,(none),4294967295
-0.580457,persistence_auth/authorized_keys,root_session,setresgid,privilege_transition,sshd,,sshd: [accepted],,benign,,1778300227.631,14419,pre_context,20260508_211709_authorized_keys_W9jmSO,20260508_211655_dirtyfrag_root_authorized_keys_X5ChW3,persistence_auth,yes,0,/usr/sbin/sshd,,,0,0,4294967295,16846,16845,(none),4294967295
-0.580457,persistence_auth/authorized_keys,root_session,setresuid,privilege_transition,sshd,,sshd: [accepted],,benign,,1778300227.631,14420,pre_context,20260508_211709_authorized_keys_W9jmSO,20260508_211655_dirtyfrag_root_authorized_keys_X5ChW3,persistence_auth,yes,0,/usr/sbin/sshd,,,109,109,4294967295,16846,16845,(none),4294967295
-0.580457,persistence_auth/authorized_keys,root_session,setgid,privilege_transition,sshd,,sshd: [accepted],,benign,,1778300227.631,14421,pre_context,20260508_211709_authorized_keys_W9jmSO,20260508_211655_dirtyfrag_root_authorized_keys_X5ChW3,persistence_auth,no,-1,/usr/sbin/sshd,,,109,109,4294967295,16846,16845,(none),4294967295
