seconds_from_attack_start,attack_payload,attack_delivery,syscall,key,comm,command,proctitle,cwd,manual_label,manual_note,timestamp,event_id,anchor_phase,attack_run_id,attack_chain_id,attack_category,success,exit,exe,path,paths,uid,euid,auid,pid,ppid,tty,ses
-2.996303,priv_esc/root_copyfail,ssh_auth,execve,exec,mkdir,mkdir -p projects/project_3/src projects/project_3/data projects/project_3/notes projects/project_3/reports projects/project_3/config docs scripts downloads temp archive logs,mkdir -p projects/project_3/src projects/project_3/data projects/project_3/notes projects/project_3/reports projects/project_3/c,/home/analyst/baseline_workload/run_20260509_041538,benign,,1778300277.679,20009,pre_context,20260508_211801_root_copyfail_YGhMdA,20260508_211801_copyfail_to_suid_backdoors_uMlflR,priv_esc,yes,0,/usr/bin/mkdir,/usr/bin/mkdir,/usr/bin/mkdir|/lib64/ld-linux-x86-64.so.2,1000,1000,1000,18781,15400,(none),25
-2.995303,priv_esc/root_copyfail,ssh_auth,mkdir,home_activity,mkdir,,mkdir -p projects/project_3/src projects/project_3/data projects/project_3/notes projects/project_3/reports projects/project_3/c,/home/analyst/baseline_workload/run_20260509_041538,benign,,1778300277.680,20010,pre_context,20260508_211801_root_copyfail_YGhMdA,20260508_211801_copyfail_to_suid_backdoors_uMlflR,priv_esc,no,-17,/usr/bin/mkdir,/home/analyst/baseline_workload/run_20260509_041538,/home/analyst/baseline_workload/run_20260509_041538,1000,1000,1000,18781,15400,(none),25
-2.995303,priv_esc/root_copyfail,ssh_auth,mkdir,home_activity,mkdir,,mkdir -p projects/project_3/src projects/project_3/data projects/project_3/notes projects/project_3/reports projects/project_3/c,/home/analyst/baseline_workload/run_20260509_041538/projects,benign,,1778300277.680,20011,pre_context,20260508_211801_root_copyfail_YGhMdA,20260508_211801_copyfail_to_suid_backdoors_uMlflR,priv_esc,no,-17,/usr/bin/mkdir,/home/analyst/baseline_workload/run_20260509_041538/projects,/home/analyst/baseline_workload/run_20260509_041538/projects,1000,1000,1000,18781,15400,(none),25
-2.995303,priv_esc/root_copyfail,ssh_auth,mkdir,home_activity,mkdir,,mkdir -p projects/project_3/src projects/project_3/data projects/project_3/notes projects/project_3/reports projects/project_3/c,/home/analyst/baseline_workload/run_20260509_041538/projects/project_3,benign,,1778300277.680,20012,pre_context,20260508_211801_root_copyfail_YGhMdA,20260508_211801_copyfail_to_suid_backdoors_uMlflR,priv_esc,no,-17,/usr/bin/mkdir,/home/analyst/baseline_workload/run_20260509_041538/projects/project_3,/home/analyst/baseline_workload/run_20260509_041538/projects/project_3,1000,1000,1000,18781,15400,(none),25
-2.995303,priv_esc/root_copyfail,ssh_auth,mkdir,home_activity,mkdir,,mkdir -p projects/project_3/src projects/project_3/data projects/project_3/notes projects/project_3/reports projects/project_3/c,/home/analyst/baseline_workload/run_20260509_041538,benign,,1778300277.680,20013,pre_context,20260508_211801_root_copyfail_YGhMdA,20260508_211801_copyfail_to_suid_backdoors_uMlflR,priv_esc,no,-17,/usr/bin/mkdir,/home/analyst/baseline_workload/run_20260509_041538,/home/analyst/baseline_workload/run_20260509_041538,1000,1000,1000,18781,15400,(none),25
-2.995303,priv_esc/root_copyfail,ssh_auth,mkdir,home_activity,mkdir,,mkdir -p projects/project_3/src projects/project_3/data projects/project_3/notes projects/project_3/reports projects/project_3/c,/home/analyst/baseline_workload/run_20260509_041538/projects,benign,,1778300277.680,20014,pre_context,20260508_211801_root_copyfail_YGhMdA,20260508_211801_copyfail_to_suid_backdoors_uMlflR,priv_esc,no,-17,/usr/bin/mkdir,/home/analyst/baseline_workload/run_20260509_041538/projects,/home/analyst/baseline_workload/run_20260509_041538/projects,1000,1000,1000,18781,15400,(none),25
-2.995303,priv_esc/root_copyfail,ssh_auth,mkdir,home_activity,mkdir,,mkdir -p projects/project_3/src projects/project_3/data projects/project_3/notes projects/project_3/reports projects/project_3/c,/home/analyst/baseline_workload/run_20260509_041538/projects/project_3,benign,,1778300277.680,20015,pre_context,20260508_211801_root_copyfail_YGhMdA,20260508_211801_copyfail_to_suid_backdoors_uMlflR,priv_esc,no,-17,/usr/bin/mkdir,/home/analyst/baseline_workload/run_20260509_041538/projects/project_3,/home/analyst/baseline_workload/run_20260509_041538/projects/project_3,1000,1000,1000,18781,15400,(none),25
-2.995303,priv_esc/root_copyfail,ssh_auth,mkdir,home_activity,mkdir,,mkdir -p projects/project_3/src projects/project_3/data projects/project_3/notes projects/project_3/reports projects/project_3/c,/home/analyst/baseline_workload/run_20260509_041538,benign,,1778300277.680,20016,pre_context,20260508_211801_root_copyfail_YGhMdA,20260508_211801_copyfail_to_suid_backdoors_uMlflR,priv_esc,no,-17,/usr/bin/mkdir,/home/analyst/baseline_workload/run_20260509_041538,/home/analyst/baseline_workload/run_20260509_041538,1000,1000,1000,18781,15400,(none),25
-2.995303,priv_esc/root_copyfail,ssh_auth,mkdir,home_activity,mkdir,,mkdir -p projects/project_3/src projects/project_3/data projects/project_3/notes projects/project_3/reports projects/project_3/c,/home/analyst/baseline_workload/run_20260509_041538/projects,benign,,1778300277.680,20017,pre_context,20260508_211801_root_copyfail_YGhMdA,20260508_211801_copyfail_to_suid_backdoors_uMlflR,priv_esc,no,-17,/usr/bin/mkdir,/home/analyst/baseline_workload/run_20260509_041538/projects,/home/analyst/baseline_workload/run_20260509_041538/projects,1000,1000,1000,18781,15400,(none),25
-2.995303,priv_esc/root_copyfail,ssh_auth,mkdir,home_activity,mkdir,,mkdir -p projects/project_3/src projects/project_3/data projects/project_3/notes projects/project_3/reports projects/project_3/c,/home/analyst/baseline_workload/run_20260509_041538/projects/project_3,benign,,1778300277.680,20018,pre_context,20260508_211801_root_copyfail_YGhMdA,20260508_211801_copyfail_to_suid_backdoors_uMlflR,priv_esc,no,-17,/usr/bin/mkdir,/home/analyst/baseline_workload/run_20260509_041538/projects/project_3,/home/analyst/baseline_workload/run_20260509_041538/projects/project_3,1000,1000,1000,18781,15400,(none),25
