seconds_from_attack_start,attack_payload,attack_delivery,syscall,key,comm,command,proctitle,cwd,manual_label,manual_note,timestamp,event_id,anchor_phase,attack_run_id,attack_chain_id,attack_category,success,exit,exe,path,paths,uid,euid,auid,pid,ppid,tty,ses
-0.608716,vandalism/firewall_disable,windows_ncat_auto,setresgid,privilege_transition,sshd,,sshd: [accepted],,benign,,1778300432.140,31975,pre_context,20260508_212033_firewall_disable_JITTWV,20260508_212024_reverse_watershell_firewall_disable_Pe1og8,vandalism,yes,0,/usr/sbin/sshd,,,0,0,4294967295,22308,22307,(none),4294967295
-0.608716,vandalism/firewall_disable,windows_ncat_auto,setresuid,privilege_transition,sshd,,sshd: [accepted],,benign,,1778300432.140,31976,pre_context,20260508_212033_firewall_disable_JITTWV,20260508_212024_reverse_watershell_firewall_disable_Pe1og8,vandalism,yes,0,/usr/sbin/sshd,,,109,109,4294967295,22308,22307,(none),4294967295
-0.608716,vandalism/firewall_disable,windows_ncat_auto,setgid,privilege_transition,sshd,,sshd: [accepted],,benign,,1778300432.140,31977,pre_context,20260508_212033_firewall_disable_JITTWV,20260508_212024_reverse_watershell_firewall_disable_Pe1og8,vandalism,no,-1,/usr/sbin/sshd,,,109,109,4294967295,22308,22307,(none),4294967295
-0.608716,vandalism/firewall_disable,windows_ncat_auto,setresgid,privilege_transition,sshd,,sshd: [accepted],,benign,,1778300432.140,31978,pre_context,20260508_212033_firewall_disable_JITTWV,20260508_212024_reverse_watershell_firewall_disable_Pe1og8,vandalism,no,-1,/usr/sbin/sshd,,,109,109,4294967295,22308,22307,(none),4294967295
-0.608716,vandalism/firewall_disable,windows_ncat_auto,setuid,privilege_transition,sshd,,sshd: [accepted],,benign,,1778300432.140,31979,pre_context,20260508_212033_firewall_disable_JITTWV,20260508_212024_reverse_watershell_firewall_disable_Pe1og8,vandalism,no,-1,/usr/sbin/sshd,,,109,109,4294967295,22308,22307,(none),4294967295
-0.608716,vandalism/firewall_disable,windows_ncat_auto,setresuid,privilege_transition,sshd,,sshd: [accepted],,benign,,1778300432.140,31980,pre_context,20260508_212033_firewall_disable_JITTWV,20260508_212024_reverse_watershell_firewall_disable_Pe1og8,vandalism,no,-1,/usr/sbin/sshd,,,109,109,4294967295,22308,22307,(none),4294967295
-0.509716,vandalism/firewall_disable,windows_ncat_auto,connect,network_connect,sshd,,/usr/sbin/sshd -D -R,/,benign,,1778300432.239,31981,pre_context,20260508_212033_firewall_disable_JITTWV,20260508_212024_reverse_watershell_firewall_disable_Pe1og8,vandalism,no,-2,/usr/sbin/sshd,/var/run/nscd/socket,/var/run/nscd/socket,0,0,4294967295,22307,21008,(none),4294967295
-0.509716,vandalism/firewall_disable,windows_ncat_auto,connect,network_connect,sshd,,/usr/sbin/sshd -D -R,/,benign,,1778300432.239,31982,pre_context,20260508_212033_firewall_disable_JITTWV,20260508_212024_reverse_watershell_firewall_disable_Pe1og8,vandalism,no,-2,/usr/sbin/sshd,/var/run/nscd/socket,/var/run/nscd/socket,0,0,4294967295,22307,21008,(none),4294967295
-0.509716,vandalism/firewall_disable,windows_ncat_auto,connect,network_connect,sshd,,/usr/sbin/sshd -D -R,/,benign,,1778300432.239,31983,pre_context,20260508_212033_firewall_disable_JITTWV,20260508_212024_reverse_watershell_firewall_disable_Pe1og8,vandalism,yes,0,/usr/sbin/sshd,/run/systemd/userdb/io.systemd.DynamicUser,/run/systemd/userdb/io.systemd.DynamicUser,0,0,4294967295,22307,21008,(none),4294967295
-0.508716,vandalism/firewall_disable,windows_ncat_auto,setresgid,privilege_transition,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300432.240,31984,pre_context,20260508_212033_firewall_disable_JITTWV,20260508_212024_reverse_watershell_firewall_disable_Pe1og8,vandalism,yes,0,/usr/sbin/sshd,,,0,0,4294967295,22307,21008,(none),4294967295
-0.508716,vandalism/firewall_disable,windows_ncat_auto,setresuid,privilege_transition,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300432.240,31985,pre_context,20260508_212033_firewall_disable_JITTWV,20260508_212024_reverse_watershell_firewall_disable_Pe1og8,vandalism,yes,0,/usr/sbin/sshd,,,0,1001,4294967295,22307,21008,(none),4294967295
-0.508716,vandalism/firewall_disable,windows_ncat_auto,setresuid,privilege_transition,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300432.240,31986,pre_context,20260508_212033_firewall_disable_JITTWV,20260508_212024_reverse_watershell_firewall_disable_Pe1og8,vandalism,yes,0,/usr/sbin/sshd,,,0,0,4294967295,22307,21008,(none),4294967295
-0.508716,vandalism/firewall_disable,windows_ncat_auto,setresgid,privilege_transition,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300432.240,31987,pre_context,20260508_212033_firewall_disable_JITTWV,20260508_212024_reverse_watershell_firewall_disable_Pe1og8,vandalism,yes,0,/usr/sbin/sshd,,,0,0,4294967295,22307,21008,(none),4294967295
-0.508716,vandalism/firewall_disable,windows_ncat_auto,setresgid,privilege_transition,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300432.240,31988,pre_context,20260508_212033_firewall_disable_JITTWV,20260508_212024_reverse_watershell_firewall_disable_Pe1og8,vandalism,yes,0,/usr/sbin/sshd,,,0,0,4294967295,22307,21008,(none),4294967295
-0.508716,vandalism/firewall_disable,windows_ncat_auto,setresuid,privilege_transition,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300432.240,31989,pre_context,20260508_212033_firewall_disable_JITTWV,20260508_212024_reverse_watershell_firewall_disable_Pe1og8,vandalism,yes,0,/usr/sbin/sshd,,,0,1001,4294967295,22307,21008,(none),4294967295
-0.508716,vandalism/firewall_disable,windows_ncat_auto,connect,network_connect,sshd,,/usr/sbin/sshd -D -R,/,benign,,1778300432.240,31990,pre_context,20260508_212033_firewall_disable_JITTWV,20260508_212024_reverse_watershell_firewall_disable_Pe1og8,vandalism,yes,0,/usr/sbin/sshd,/dev/log,/dev/log,0,1001,4294967295,22307,21008,(none),4294967295
-0.508716,vandalism/firewall_disable,windows_ncat_auto,setresuid,privilege_transition,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300432.240,31991,pre_context,20260508_212033_firewall_disable_JITTWV,20260508_212024_reverse_watershell_firewall_disable_Pe1og8,vandalism,yes,0,/usr/sbin/sshd,,,0,0,4294967295,22307,21008,(none),4294967295
-0.508716,vandalism/firewall_disable,windows_ncat_auto,setresgid,privilege_transition,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300432.240,31992,pre_context,20260508_212033_firewall_disable_JITTWV,20260508_212024_reverse_watershell_firewall_disable_Pe1og8,vandalism,yes,0,/usr/sbin/sshd,,,0,0,4294967295,22307,21008,(none),4294967295
-0.508716,vandalism/firewall_disable,windows_ncat_auto,,,,,,,benign,,1778300432.240,31993,pre_context,20260508_212033_firewall_disable_JITTWV,20260508_212024_reverse_watershell_firewall_disable_Pe1og8,vandalism,,,,,,,,,,,,
-0.502716,vandalism/firewall_disable,windows_ncat_auto,setresgid,privilege_transition,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300432.246,31994,pre_context,20260508_212033_firewall_disable_JITTWV,20260508_212024_reverse_watershell_firewall_disable_Pe1og8,vandalism,yes,0,/usr/sbin/sshd,,,0,0,4294967295,22307,21008,(none),4294967295
-0.502716,vandalism/firewall_disable,windows_ncat_auto,setresuid,privilege_transition,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300432.246,31995,pre_context,20260508_212033_firewall_disable_JITTWV,20260508_212024_reverse_watershell_firewall_disable_Pe1og8,vandalism,yes,0,/usr/sbin/sshd,,,0,1001,4294967295,22307,21008,(none),4294967295
-0.502716,vandalism/firewall_disable,windows_ncat_auto,setresuid,privilege_transition,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300432.246,31996,pre_context,20260508_212033_firewall_disable_JITTWV,20260508_212024_reverse_watershell_firewall_disable_Pe1og8,vandalism,yes,0,/usr/sbin/sshd,,,0,0,4294967295,22307,21008,(none),4294967295
