seconds_from_attack_start,attack_payload,attack_delivery,syscall,key,comm,command,proctitle,cwd,manual_label,manual_note,timestamp,event_id,anchor_phase,attack_run_id,attack_chain_id,attack_category,success,exit,exe,path,paths,uid,euid,auid,pid,ppid,tty,ses
-0.482465,vandalism/dns_delete,scp_then_ssh,connect,network_connect,sshd,,/usr/sbin/sshd -D -R,/,benign,,1778300646.199,49571,pre_context,20260508_212407_dns_delete_9ci3sG,20260508_212404_scp_nginx_dns_delete_CMzhrV,vandalism,no,-2,/usr/sbin/sshd,/var/run/nscd/socket,/var/run/nscd/socket,0,0,4294967295,27276,21008,(none),4294967295
-0.482465,vandalism/dns_delete,scp_then_ssh,connect,network_connect,sshd,,/usr/sbin/sshd -D -R,/,benign,,1778300646.199,49572,pre_context,20260508_212407_dns_delete_9ci3sG,20260508_212404_scp_nginx_dns_delete_CMzhrV,vandalism,no,-2,/usr/sbin/sshd,/var/run/nscd/socket,/var/run/nscd/socket,0,0,4294967295,27276,21008,(none),4294967295
-0.481464,vandalism/dns_delete,scp_then_ssh,connect,network_connect,sshd,,/usr/sbin/sshd -D -R,/,benign,,1778300646.200,49573,pre_context,20260508_212407_dns_delete_9ci3sG,20260508_212404_scp_nginx_dns_delete_CMzhrV,vandalism,yes,0,/usr/sbin/sshd,/run/systemd/userdb/io.systemd.DynamicUser,/run/systemd/userdb/io.systemd.DynamicUser,0,0,4294967295,27276,21008,(none),4294967295
-0.481464,vandalism/dns_delete,scp_then_ssh,setresgid,privilege_transition,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300646.200,49574,pre_context,20260508_212407_dns_delete_9ci3sG,20260508_212404_scp_nginx_dns_delete_CMzhrV,vandalism,yes,0,/usr/sbin/sshd,,,0,0,4294967295,27276,21008,(none),4294967295
-0.481464,vandalism/dns_delete,scp_then_ssh,setresuid,privilege_transition,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300646.200,49575,pre_context,20260508_212407_dns_delete_9ci3sG,20260508_212404_scp_nginx_dns_delete_CMzhrV,vandalism,yes,0,/usr/sbin/sshd,,,0,1001,4294967295,27276,21008,(none),4294967295
-0.481464,vandalism/dns_delete,scp_then_ssh,setresuid,privilege_transition,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300646.200,49576,pre_context,20260508_212407_dns_delete_9ci3sG,20260508_212404_scp_nginx_dns_delete_CMzhrV,vandalism,yes,0,/usr/sbin/sshd,,,0,0,4294967295,27276,21008,(none),4294967295
-0.481464,vandalism/dns_delete,scp_then_ssh,setresgid,privilege_transition,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300646.200,49577,pre_context,20260508_212407_dns_delete_9ci3sG,20260508_212404_scp_nginx_dns_delete_CMzhrV,vandalism,yes,0,/usr/sbin/sshd,,,0,0,4294967295,27276,21008,(none),4294967295
-0.480464,vandalism/dns_delete,scp_then_ssh,setresgid,privilege_transition,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300646.201,49578,pre_context,20260508_212407_dns_delete_9ci3sG,20260508_212404_scp_nginx_dns_delete_CMzhrV,vandalism,yes,0,/usr/sbin/sshd,,,0,0,4294967295,27276,21008,(none),4294967295
-0.480464,vandalism/dns_delete,scp_then_ssh,setresuid,privilege_transition,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300646.201,49579,pre_context,20260508_212407_dns_delete_9ci3sG,20260508_212404_scp_nginx_dns_delete_CMzhrV,vandalism,yes,0,/usr/sbin/sshd,,,0,1001,4294967295,27276,21008,(none),4294967295
-0.480464,vandalism/dns_delete,scp_then_ssh,connect,network_connect,sshd,,/usr/sbin/sshd -D -R,/,benign,,1778300646.201,49580,pre_context,20260508_212407_dns_delete_9ci3sG,20260508_212404_scp_nginx_dns_delete_CMzhrV,vandalism,yes,0,/usr/sbin/sshd,/dev/log,/dev/log,0,1001,4294967295,27276,21008,(none),4294967295
-0.480464,vandalism/dns_delete,scp_then_ssh,setresuid,privilege_transition,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300646.201,49581,pre_context,20260508_212407_dns_delete_9ci3sG,20260508_212404_scp_nginx_dns_delete_CMzhrV,vandalism,yes,0,/usr/sbin/sshd,,,0,0,4294967295,27276,21008,(none),4294967295
-0.480464,vandalism/dns_delete,scp_then_ssh,setresgid,privilege_transition,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300646.201,49582,pre_context,20260508_212407_dns_delete_9ci3sG,20260508_212404_scp_nginx_dns_delete_CMzhrV,vandalism,yes,0,/usr/sbin/sshd,,,0,0,4294967295,27276,21008,(none),4294967295
-0.480464,vandalism/dns_delete,scp_then_ssh,,,,,,,benign,,1778300646.201,49583,pre_context,20260508_212407_dns_delete_9ci3sG,20260508_212404_scp_nginx_dns_delete_CMzhrV,vandalism,,,,,,,,,,,,
-0.475464,vandalism/dns_delete,scp_then_ssh,setresgid,privilege_transition,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300646.206,49584,pre_context,20260508_212407_dns_delete_9ci3sG,20260508_212404_scp_nginx_dns_delete_CMzhrV,vandalism,yes,0,/usr/sbin/sshd,,,0,0,4294967295,27276,21008,(none),4294967295
-0.475464,vandalism/dns_delete,scp_then_ssh,setresuid,privilege_transition,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300646.206,49585,pre_context,20260508_212407_dns_delete_9ci3sG,20260508_212404_scp_nginx_dns_delete_CMzhrV,vandalism,yes,0,/usr/sbin/sshd,,,0,1001,4294967295,27276,21008,(none),4294967295
-0.475464,vandalism/dns_delete,scp_then_ssh,setresuid,privilege_transition,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300646.206,49586,pre_context,20260508_212407_dns_delete_9ci3sG,20260508_212404_scp_nginx_dns_delete_CMzhrV,vandalism,yes,0,/usr/sbin/sshd,,,0,0,4294967295,27276,21008,(none),4294967295
-0.475464,vandalism/dns_delete,scp_then_ssh,setresgid,privilege_transition,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300646.206,49587,pre_context,20260508_212407_dns_delete_9ci3sG,20260508_212404_scp_nginx_dns_delete_CMzhrV,vandalism,yes,0,/usr/sbin/sshd,,,0,0,4294967295,27276,21008,(none),4294967295
-0.475464,vandalism/dns_delete,scp_then_ssh,setresgid,privilege_transition,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300646.206,49588,pre_context,20260508_212407_dns_delete_9ci3sG,20260508_212404_scp_nginx_dns_delete_CMzhrV,vandalism,yes,0,/usr/sbin/sshd,,,0,0,4294967295,27276,21008,(none),4294967295
-0.475464,vandalism/dns_delete,scp_then_ssh,setresuid,privilege_transition,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300646.206,49589,pre_context,20260508_212407_dns_delete_9ci3sG,20260508_212404_scp_nginx_dns_delete_CMzhrV,vandalism,yes,0,/usr/sbin/sshd,,,0,1001,4294967295,27276,21008,(none),4294967295
