sequence_id,segment_id,start_timestamp,end_timestamp,start_event_id,end_event_id,event_count,lstm_malicious_probability,lstm_prediction,lstm_prediction_label,lstm_threshold
0,scored_log,1778298833.757000,1778298833.778000,8699,8747,50,0.015584898,0,benign,0.5
1,scored_log,1778298833.767000,1778298833.778000,8708,8757,50,0.013857691,0,benign,0.5
2,scored_log,1778298833.777000,1778298833.779000,8718,8767,50,0.013618274,0,benign,0.5
3,scored_log,1778298833.777000,1778298833.781000,8728,8777,50,0.007715233,0,benign,0.5
4,scored_log,1778298833.778000,1778298833.783000,8738,8787,50,0.008444904,0,benign,0.5
5,scored_log,1778298833.778000,1778298833.785000,8748,8797,50,0.07776386,0,benign,0.5
6,scored_log,1778298833.778000,1778298833.785000,8758,8807,50,0.029715322,0,benign,0.5
7,scored_log,1778298833.779000,1778298833.786000,8768,8817,50,0.016934946,0,benign,0.5
8,scored_log,1778298833.781000,1778298833.786000,8778,8827,50,0.018876795,0,benign,0.5
9,scored_log,1778298833.783000,1778298837.342000,8788,8837,50,0.42909852,0,benign,0.5
10,scored_log,1778298833.785000,1778298837.342000,8798,8847,50,0.82041365,1,malicious,0.5
11,scored_log,1778298833.785000,1778298837.347000,8808,8857,50,0.3755979,0,benign,0.5
12,scored_log,1778298833.786000,1778298837.348000,8818,8867,50,0.25131437,0,benign,0.5
13,scored_log,1778298833.786000,1778298837.349000,8828,8877,50,0.35206318,0,benign,0.5
14,scored_log,1778298837.342000,1778298837.363000,8838,8887,50,0.96988183,1,malicious,0.5
15,scored_log,1778298837.342000,1778298842.847000,8848,8897,50,0.98727834,1,malicious,0.5
16,scored_log,1778298837.347000,1778298842.848000,8858,8907,50,0.9682362,1,malicious,0.5
17,scored_log,1778298837.348000,1778298842.853000,8868,8917,50,0.65971607,1,malicious,0.5
18,scored_log,1778298837.349000,1778298842.854000,8878,8927,50,0.22340894,0,benign,0.5
19,scored_log,1778298837.363000,1778298842.857000,8888,8937,50,0.056147013,0,benign,0.5
20,scored_log,1778298842.847000,1778300127.354000,8898,8951,50,0.04076771,0,benign,0.5
21,scored_log,1778298842.848000,1778300127.460000,8908,8960,50,0.0034187392,0,benign,0.5
22,scored_log,1778298842.853000,1778300127.465000,8918,8969,50,0.0045571197,0,benign,0.5
23,scored_log,1778298842.854000,1778300127.498000,8928,8980,50,0.018168917,0,benign,0.5
24,scored_log,1778298842.857000,1778300127.528000,8938,8990,50,0.9984725,1,malicious,0.5
25,scored_log,1778300127.356000,1778300127.541000,8950,9000,50,0.9955285,1,malicious,0.5
26,scored_log,1778300127.460000,1778300127.557000,8961,9010,50,0.994393,1,malicious,0.5
27,scored_log,1778300127.465000,1778300127.582000,8970,9020,50,0.9865465,1,malicious,0.5
28,scored_log,1778300127.499000,1778300127.612000,8981,9030,50,0.83417076,1,malicious,0.5
29,scored_log,1778300127.528000,1778300127.621000,8991,9040,50,0.00030234005,0,benign,0.5
30,scored_log,1778300127.544000,1778300127.638000,9001,9050,50,0.00025838328,0,benign,0.5
31,scored_log,1778300127.559000,1778300127.652000,9011,9060,50,0.0001864626,0,benign,0.5
32,scored_log,1778300127.591000,1778300127.672000,9021,9070,50,0.0001954871,0,benign,0.5
33,scored_log,1778300127.612000,1778300127.685000,9031,9080,50,0.00029836438,0,benign,0.5
34,scored_log,1778300127.624000,1778300127.700000,9041,9090,50,0.00080942607,0,benign,0.5
35,scored_log,1778300127.640000,1778300127.710000,9051,9100,50,0.00036233332,0,benign,0.5
36,scored_log,1778300127.654000,1778300127.718000,9061,9110,50,0.00030911865,0,benign,0.5
37,scored_log,1778300127.674000,1778300127.742000,9071,9120,50,0.0002084436,0,benign,0.5
38,scored_log,1778300127.687000,1778300127.756000,9081,9130,50,0.00028363016,0,benign,0.5
39,scored_log,1778300127.701000,1778300127.770000,9091,9141,50,0.00021954544,0,benign,0.5
40,scored_log,1778300127.710000,1778300127.814000,9101,9150,50,0.09847626,0,benign,0.5
41,scored_log,1778300127.719000,1778300128.067000,9111,9160,50,0.71660584,1,malicious,0.5
42,scored_log,1778300127.743000,1778300128.123000,9121,9170,50,0.008286486,0,benign,0.5
43,scored_log,1778300127.758000,1778300128.152000,9131,9180,50,0.0014263509,0,benign,0.5
44,scored_log,1778300127.771000,1778300128.155000,9140,9190,50,0.0012441345,0,benign,0.5
45,scored_log,1778300127.815000,1778300128.820000,9151,9200,50,0.002150189,0,benign,0.5
46,scored_log,1778300128.067000,1778300135.076000,9161,9207,50,0.00010540133,0,benign,0.5
