window_id,window_start,window_end,source,event_count,record_count_sum,record_count_mean,path_count_sum,path_count_mean,execve_count,command_count,success_yes_count,success_no_count,unique_syscall_count,unique_primary_type_count,unique_exe_count,unique_comm_count,unique_uid_count,unique_euid_count,unique_auid_count,unique_pid_count,unique_ppid_count,root_uid_count,root_euid_count,unset_auid_count,network_event_count,tmp_path_event_count,home_path_event_count,etc_path_event_count,ssh_path_event_count,root_ssh_path_event_count,var_log_path_event_count,dev_shm_path_event_count,failed_execve_count,syscall_mkdir_count,syscall_openat_count,syscall_execve_count,syscall_fchmodat_count,syscall_connect_count,syscall_unlinkat_count,syscall_setresuid_count,syscall_unlink_count,syscall_rename_count,syscall_setresgid_count,syscall_chmod_count,syscall_missing_count,syscall_sendto_count,syscall_86_count,syscall_126_count,syscall_93_count,syscall_190_count,syscall_setgid_count,syscall_85_count,syscall_88_count,syscall_260_count,syscall_316_count,syscall_setuid_count,syscall_114_count,syscall_113_count,syscall_chown_count,syscall_write_count,syscall_77_count,syscall_91_count,syscall_renameat_count,type_syscall_count,type_user_end_count,type_user_acct_count,type_cred_disp_count,type_user_start_count,type_cred_refr_count,type_user_cmd_count,type_cred_acq_count,type_user_login_count,type_service_start_count,type_service_stop_count,type_daemon_start_count,key_home_activity_count,key_exec_count,key_network_connect_count,key_privilege_transition_count,key_tmp_activity_count,key_download_tool_count,key_null_count,key_missing_count,key_service_control_count,key_shell_exec_count,key_file_destroy_count,key_chmod_change_count,key_owner_change_count,comm_mkdir_count,comm_bash_count,comm_chmod_count,comm_git_count,comm_cp_count,comm_sudo_count,comm_rm_count,comm_cat_count,comm_date_count,comm_sleep_count,comm_curl_count,comm_wget_count,comm_ls_count,comm_ps_count,comm_sshd_count,comm_top_count,comm_tar_count,comm_missing_count,comm_auditctl_count,comm_sed_count,comm_chown_count,comm_seq_count,comm_touch_count,comm_python3_count,comm_gzip_count,comm_systemctl_count,comm_whoami_count,comm_cut_count,comm_sort_count,comm_find_count,comm_tee_count,comm_head_count,comm_sh_count,comm_tr_count,comm_awk_count,comm_du_count,comm_wc_count,comm_jq_count,comm_uniq_count,comm_mv_count,comm_cron_count,comm_shuf_count,comm_dpkg_count,comm_expr_count,comm_grep_count,comm_baseline_worklo_count,comm_egrep_count,comm_landscape_sysin_count,comm_basename_count,comm_sa1_count,exe_mkdir_count,exe_bash_count,exe_chmod_count,exe_git_count,exe_cp_count,exe_sudo_count,exe_rm_count,exe_cat_count,exe_date_count,exe_sleep_count,exe_curl_count,exe_wget_count,exe_ls_count,exe_ps_count,exe_sshd_count,exe_top_count,exe_tar_count,exe_missing_count,exe_auditctl_count,exe_sed_count,exe_dash_count,exe_chown_count,exe_python3_12_count,exe_env_count,exe_seq_count,exe_touch_count,exe_gzip_count,exe_systemctl_count,exe_whoami_count,exe_cut_count,exe_sort_count,exe_find_count,exe_tee_count,exe_head_count,exe_tr_count,exe_gawk_count,exe_wc_count,exe_uniq_count,exe_jq_count,exe_du_count,exe_cron_count,exe_mv_count,exe_shuf_count,exe_dpkg_count,exe_systemd_executor_count,exe_expr_count,exe_grep_count,exe_basename_count,exe_vmware_toolbox_cmd_count,exe_getopt_count,label_benign_count,label_malicious_count,label_ambiguous_count,label_unlabeled_count,window_label
0,1778298833.757000,1778298843.757000,parsed_events,243,1012,4.1646090534979425,143,0.588477366255144,18,15,208,19,12,9,14,16,2,3,2,15,9,185,217,132,301,6,3,10,1,1,0,1,3,0,5,18,0,25,1,34,0,1,20,0,16,114,0,4,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,227,3,2,3,2,2,2,0,0,1,0,1,2,14,25,60,4,0,114,16,4,0,1,1,2,0,0,0,0,0,86,2,1,0,0,0,0,1,0,0,0,0,16,115,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,86,2,1,0,0,0,0,1,0,0,0,0,16,115,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,243,unlabeled
1,1778298843.757000,1778298853.757000,parsed_events,5,26,5.2,6,1.2,1,1,1,4,2,1,1,1,1,1,1,1,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,unlabeled
12,1778298953.757000,1778298963.757000,parsed_events,182,1045,5.741758241758242,345,1.8956043956043955,143,140,167,13,14,3,24,29,2,2,2,143,72,177,175,168,39,0,2,2,0,0,10,0,3,0,1,143,1,13,1,3,0,1,2,0,2,0,0,0,0,0,0,0,0,0,9,0,2,1,1,0,0,1,1,180,1,0,1,0,0,0,0,0,0,0,0,2,141,13,8,0,0,0,2,2,0,12,2,0,0,2,2,0,0,0,2,0,4,0,0,0,0,0,10,0,0,2,0,4,0,1,1,0,0,4,0,18,0,0,0,0,9,27,4,0,0,0,0,18,0,0,0,11,5,0,4,0,1,0,0,2,2,0,0,0,2,0,4,0,0,0,0,0,10,0,0,2,0,4,30,0,0,0,1,1,0,4,0,18,0,0,0,0,27,4,0,0,0,0,0,18,0,0,0,11,5,1,9,9,0,0,0,182,unlabeled
13,1778298963.757000,1778298973.757000,parsed_events,266,1224,4.601503759398496,357,1.3421052631578947,99,84,159,101,17,5,34,54,3,3,2,77,28,117,114,36,90,0,90,13,0,0,0,0,15,85,7,99,1,30,1,12,0,1,11,0,6,0,0,2,0,0,2,0,0,0,0,2,2,2,1,1,1,0,0,260,0,1,0,1,0,0,2,2,0,0,0,93,96,30,33,0,0,1,6,0,3,2,1,1,91,12,2,0,0,0,2,6,7,0,0,0,0,6,60,1,0,6,0,0,0,0,0,0,0,0,0,3,1,3,0,1,1,1,1,0,0,0,0,0,0,1,0,1,3,8,4,6,1,0,91,12,2,0,0,0,2,6,7,0,0,0,0,6,60,1,0,6,0,0,23,0,6,12,0,0,0,0,0,3,1,3,0,1,1,1,0,0,0,0,0,0,1,0,0,1,3,1,0,0,0,0,0,266,unlabeled
14,1778298973.757000,1778298983.757000,parsed_events,315,1548,4.914285714285715,512,1.6253968253968254,60,60,193,122,12,1,21,20,1,1,1,64,6,0,0,0,18,29,189,0,0,0,0,0,0,130,73,60,2,6,10,0,12,10,0,7,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0,0,0,0,229,55,6,0,20,5,0,0,0,0,0,0,0,120,27,4,91,22,0,20,0,2,6,0,0,0,0,0,4,0,0,0,0,6,3,0,1,1,0,0,1,2,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,120,27,4,91,22,0,20,0,2,6,0,0,0,0,0,4,0,0,0,0,0,6,1,0,3,0,1,0,0,1,2,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,unlabeled
15,1778298983.757000,1778298993.757000,parsed_events,277,1337,4.8267148014440435,430,1.552346570397112,44,41,147,130,13,1,19,18,1,1,1,43,7,0,0,0,24,9,179,0,0,0,0,0,3,131,56,44,1,8,1,0,12,11,0,7,0,0,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,277,0,0,0,0,0,0,0,0,0,0,0,225,38,8,0,0,5,0,0,0,1,0,0,0,120,17,2,91,2,0,2,4,3,5,0,0,0,6,0,5,0,0,0,5,0,0,2,3,0,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,17,2,91,2,0,2,4,3,5,0,0,0,6,0,5,0,0,0,5,0,0,3,4,0,2,0,0,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,unlabeled
16,1778298993.757000,1778299003.757000,parsed_events,294,1428,4.857142857142857,451,1.534013605442177,96,96,190,98,10,7,14,15,2,2,3,98,8,11,11,5,69,1,81,0,0,0,0,0,0,81,81,96,0,23,0,0,0,0,0,0,6,0,0,2,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,288,1,1,1,1,1,0,1,0,0,0,0,162,95,23,4,1,1,1,6,0,0,1,0,0,87,54,0,0,50,0,0,25,26,4,15,0,5,0,0,0,6,6,0,0,0,1,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,87,54,0,0,50,0,0,25,26,4,15,0,5,0,0,0,6,6,0,0,3,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,294,unlabeled
17,1778299003.757000,1778299013.757000,parsed_events,122,566,4.639344262295082,162,1.3278688524590163,30,30,58,64,9,1,17,17,1,1,1,31,3,0,0,0,42,0,63,0,6,0,0,0,0,56,15,30,3,14,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,78,29,14,0,0,1,0,0,0,0,0,0,0,61,9,6,0,2,0,2,3,1,6,0,12,5,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,9,6,0,2,0,2,3,1,6,0,12,5,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,122,unlabeled
18,1778299013.757000,1778299023.757000,parsed_events,214,682,3.1869158878504673,123,0.5747663551401869,14,14,124,72,8,7,7,7,2,3,1,14,5,71,116,0,105,0,57,0,0,0,0,0,0,54,6,14,0,35,0,51,0,0,30,0,18,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,196,3,3,3,3,3,3,0,0,0,0,0,60,12,35,87,0,0,0,18,2,0,0,0,0,58,3,0,0,0,126,0,0,0,3,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,58,3,0,0,0,126,0,0,0,3,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,214,unlabeled
19,1778299023.757000,1778299033.757000,parsed_events,224,1095,4.888392857142857,358,1.5982142857142858,32,32,127,97,10,1,17,16,1,1,1,34,6,0,0,0,24,9,150,0,0,0,0,0,0,101,49,32,0,8,0,0,12,10,0,7,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,184,27,8,0,0,5,0,0,0,0,0,0,0,91,13,0,91,2,0,0,0,1,3,0,0,5,0,0,0,6,0,0,0,0,2,0,0,3,0,0,1,2,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,91,13,0,91,2,0,0,0,1,3,0,0,5,0,0,0,6,0,0,0,1,0,0,0,2,0,3,0,0,1,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,unlabeled
