sequence_id,segment_id,start_timestamp,end_timestamp,start_event_id,end_event_id,event_count,lstm_malicious_probability,lstm_prediction,lstm_prediction_label,lstm_threshold
0,scored_log,1778298833.757000,1778298833.778000,8699,8747,50,0.015584898,0,benign,0.5
1,scored_log,1778298833.767000,1778298833.778000,8708,8757,50,0.013857691,0,benign,0.5
2,scored_log,1778298833.777000,1778298833.779000,8718,8767,50,0.013618274,0,benign,0.5
3,scored_log,1778298833.777000,1778298833.781000,8728,8777,50,0.007715233,0,benign,0.5
4,scored_log,1778298833.778000,1778298833.783000,8738,8787,50,0.008444904,0,benign,0.5
5,scored_log,1778298833.778000,1778298833.785000,8748,8797,50,0.07776386,0,benign,0.5
6,scored_log,1778298833.778000,1778298833.785000,8758,8807,50,0.029715322,0,benign,0.5
7,scored_log,1778298833.779000,1778298833.786000,8768,8817,50,0.016934946,0,benign,0.5
8,scored_log,1778298833.781000,1778298833.786000,8778,8827,50,0.018876795,0,benign,0.5
9,scored_log,1778298833.783000,1778298837.342000,8788,8837,50,0.42909852,0,benign,0.5
10,scored_log,1778298833.785000,1778298837.342000,8798,8847,50,0.82041365,1,malicious,0.5
11,scored_log,1778298833.785000,1778298837.347000,8808,8857,50,0.3755979,0,benign,0.5
12,scored_log,1778298833.786000,1778298837.348000,8818,8867,50,0.25131437,0,benign,0.5
13,scored_log,1778298833.786000,1778298837.349000,8828,8877,50,0.35206318,0,benign,0.5
14,scored_log,1778298837.342000,1778298837.363000,8838,8887,50,0.96988183,1,malicious,0.5
15,scored_log,1778298837.342000,1778298842.847000,8848,8897,50,0.98727834,1,malicious,0.5
16,scored_log,1778298837.347000,1778298842.848000,8858,8907,50,0.9682362,1,malicious,0.5
17,scored_log,1778298837.348000,1778298842.853000,8868,8917,50,0.65971607,1,malicious,0.5
18,scored_log,1778298837.349000,1778298842.854000,8878,8927,50,0.22340894,0,benign,0.5
19,scored_log,1778298837.363000,1778298842.857000,8888,8937,50,0.056147013,0,benign,0.5
20,scored_log,1778298842.847000,1778298958.380000,8898,8947,50,0.0086994795,0,benign,0.5
21,scored_log,1778298842.848000,1778298958.473000,8908,8957,50,0.00026730844,0,benign,0.5
22,scored_log,1778298842.853000,1778298958.544000,8918,8967,50,0.00094880123,0,benign,0.5
23,scored_log,1778298842.854000,1778298958.564000,8928,8977,50,0.00038242314,0,benign,0.5
24,scored_log,1778298842.857000,1778298958.583000,8938,8987,50,0.00024474214,0,benign,0.5
25,scored_log,1778298958.391000,1778298958.603000,8948,8997,50,0.00016752761,0,benign,0.5
26,scored_log,1778298958.488000,1778298958.625000,8958,9007,50,0.00018999747,0,benign,0.5
27,scored_log,1778298958.545000,1778298958.642000,8968,9017,50,0.00010115916,0,benign,0.5
28,scored_log,1778298958.567000,1778298958.657000,8978,9027,50,0.0001559043,0,benign,0.5
29,scored_log,1778298958.584000,1778298958.673000,8988,9037,50,0.0001622861,0,benign,0.5
30,scored_log,1778298958.606000,1778298958.694000,8998,9047,50,0.00080661924,0,benign,0.5
31,scored_log,1778298958.628000,1778298958.705000,9008,9057,50,0.0005186435,0,benign,0.5
32,scored_log,1778298958.644000,1778298958.715000,9018,9067,50,0.0009073349,0,benign,0.5
33,scored_log,1778298958.659000,1778298958.745000,9028,9077,50,0.00043072825,0,benign,0.5
34,scored_log,1778298958.676000,1778298958.763000,9038,9087,50,0.00024422465,0,benign,0.5
35,scored_log,1778298958.695000,1778298958.778000,9048,9097,50,9.908902e-05,0,benign,0.5
36,scored_log,1778298958.707000,1778298958.859000,9058,9107,50,0.037097093,0,benign,0.5
37,scored_log,1778298958.716000,1778298960.903000,9068,9117,50,0.028853627,0,benign,0.5
38,scored_log,1778298958.752000,1778298960.924000,9078,9127,50,0.0004002828,0,benign,0.5
39,scored_log,1778298958.764000,1778298968.489000,9088,9137,50,0.00012402439,0,benign,0.5
40,scored_log,1778298958.780000,1778298968.607000,9098,9147,50,0.0001646189,0,benign,0.5
41,scored_log,1778298958.860000,1778298968.620000,9108,9157,50,0.00022263106,0,benign,0.5
42,scored_log,1778298960.903000,1778298968.633000,9118,9167,50,7.202904e-05,0,benign,0.5
43,scored_log,1778298968.456000,1778298968.666000,9128,9177,50,5.493221e-05,0,benign,0.5
44,scored_log,1778298968.489000,1778298968.678000,9138,9187,50,6.876163e-05,0,benign,0.5
45,scored_log,1778298968.607000,1778298969.223000,9148,9197,50,0.0024869686,0,benign,0.5
