sequence_id,segment_id,start_timestamp,end_timestamp,start_event_id,end_event_id,event_count,lstm_malicious_probability,lstm_prediction,lstm_prediction_label,lstm_threshold,iforest_overlap_count,iforest_window_ids,iforest_max_anomaly_score,iforest_mean_anomaly_score,iforest_max_anomaly_score_norm,iforest_any_anomaly,combined_score,combined_reason,combined_alert,combined_threshold
15,scored_log,1778298837.342000,1778298842.847000,8848,8897,50,0.9872783422470093,1,malicious,0.5,1,0,0.12256385224727484,0.12256385224727484,0.9467665798074156,1,0.9751248135151311,lstm_and_iforest,1,0.310117
14,scored_log,1778298837.342000,1778298837.363000,8838,8887,50,0.9698818325996399,1,malicious,0.5,1,0,0.12256385224727484,0.12256385224727484,0.9467665798074156,1,0.9629472567619726,lstm_and_iforest,1,0.310117
16,scored_log,1778298837.347000,1778298842.848000,8858,8907,50,0.9682362079620361,1,malicious,0.5,1,0,0.12256385224727484,0.12256385224727484,0.9467665798074156,1,0.96179531951565,lstm_and_iforest,1,0.310117
53,scored_log,1778298969.284000,1778298973.615000,9228,9277,50,0.9844443798065186,1,malicious,0.5,1,13,0.10144656631688442,0.10144656631688442,0.8713687379914123,1,0.9505216872619866,lstm_and_iforest,1,0.310117
10,scored_log,1778298833.785000,1778298837.342000,8798,8847,50,0.8204136490821838,1,malicious,0.5,1,0,0.12256385224727484,0.12256385224727484,0.9467665798074156,1,0.8583195282997533,lstm_and_iforest,1,0.310117
667,scored_log,1778299234.897000,1778299237.917000,15368,15417,50,0.8750677704811096,1,malicious,0.5,1,40,0.02004073860733868,0.02004073860733868,0.580714733457996,1,0.7867618593741755,lstm_and_iforest,1,0.310117
1920,scored_log,1778299630.638000,1778299632.659000,27898,27947,50,0.8142790198326111,1,malicious,0.5,1,79,0.05545555850128869,0.05545555850128869,0.7071609537302486,1,0.7821436000019024,lstm_and_iforest,1,0.310117
1921,scored_log,1778299630.639000,1778299632.659000,27908,27957,50,0.8135318756103516,1,malicious,0.5,1,79,0.05545555850128869,0.05545555850128869,0.7071609537302486,1,0.7816205990463208,lstm_and_iforest,1,0.310117
662,scored_log,1778299231.876000,1778299234.897000,15318,15367,50,0.8642410635948181,1,malicious,0.5,2,39|40,0.02004073860733868,-0.008472433867079021,0.580714733457996,1,0.7791831645537715,lstm_and_iforest,1,0.310117
668,scored_log,1778299234.898000,1778299237.917000,15378,15427,50,0.8572170734405518,1,malicious,0.5,1,40,0.02004073860733868,0.02004073860733868,0.580714733457996,1,0.774266371445785,lstm_and_iforest,1,0.310117
183,scored_log,1778299021.081000,1778299023.110000,10528,10577,50,0.8667192459106445,1,malicious,0.5,1,18,0.0022444832207405563,0.0022444832207405563,0.5171744066859412,1,0.7618557941432336,lstm_and_iforest,1,0.310117
177,scored_log,1778299018.048000,1778299021.081000,10468,10517,50,0.8572489023208618,1,malicious,0.5,1,18,0.0022444832207405563,0.0022444832207405563,0.5171744066859412,1,0.7552265536303857,lstm_and_iforest,1,0.310117
178,scored_log,1778299018.049000,1778299021.081000,10478,10527,50,0.8568117618560791,1,malicious,0.5,1,18,0.0022444832207405563,0.0022444832207405563,0.5171744066859412,1,0.7549205553050378,lstm_and_iforest,1,0.310117
17,scored_log,1778298837.348000,1778298842.853000,8868,8917,50,0.6597160696983337,1,malicious,0.5,1,0,0.12256385224727484,0.12256385224727484,0.9467665798074156,1,0.7458312227310584,lstm_and_iforest,1,0.310117
1243,scored_log,1778299421.069000,1778299423.096000,21128,21177,50,0.8319123387336731,1,malicious,0.5,1,58,0.007384168045744821,0.007384168045744821,0.5355253038939054,1,0.7429962282817428,lstm_and_iforest,1,0.310117
1916,scored_log,1778299629.594000,1778299630.639000,27858,27907,50,0.7536181211471558,1,malicious,0.5,1,79,0.05545555850128869,0.05545555850128869,0.7071609537302486,1,0.7396809709220835,lstm_and_iforest,1,0.310117
1237,scored_log,1778299419.046000,1778299421.069000,21068,21117,50,0.786888599395752,1,malicious,0.5,1,58,0.007384168045744821,0.007384168045744821,0.5355253038939054,1,0.7114796107451979,lstm_and_iforest,1,0.310117
1242,scored_log,1778299421.069000,1778299423.096000,21118,21167,50,0.7539156079292297,1,malicious,0.5,1,58,0.007384168045744821,0.007384168045744821,0.5355253038939054,1,0.6883985167186324,lstm_and_iforest,1,0.310117
55,scored_log,1778298969.303000,1778298973.627000,9248,9297,50,0.5932526588439941,1,malicious,0.5,1,13,0.10144656631688442,0.10144656631688442,0.8713687379914123,1,0.6766874825882196,lstm_and_iforest,1,0.310117
663,scored_log,1778299231.882000,1778299234.897000,15328,15377,50,0.6917769908905029,1,malicious,0.5,2,39|40,0.02004073860733868,-0.008472433867079021,0.580714733457996,1,0.6584583136607508,lstm_and_iforest,1,0.310117
54,scored_log,1778298969.295000,1778298973.623000,9238,9287,50,0.5594241619110107,1,malicious,0.5,1,13,0.10144656631688442,0.10144656631688442,0.8713687379914123,1,0.6530075347351312,lstm_and_iforest,1,0.310117
1238,scored_log,1778299419.051000,1778299421.069000,21078,21127,50,0.6583024859428406,1,malicious,0.5,1,58,0.007384168045744821,0.007384168045744821,0.5355253038939054,1,0.6214693313281601,lstm_and_iforest,1,0.310117
9,scored_log,1778298833.783000,1778298837.342000,8788,8837,50,0.429098516702652,0,benign,0.5,1,0,0.12256385224727484,0.12256385224727484,0.9467665798074156,1,0.5843989356340811,iforest_only,1,0.310117
11,scored_log,1778298833.785000,1778298837.347000,8808,8857,50,0.37559789419174194,0,benign,0.5,1,0,0.12256385224727484,0.12256385224727484,0.9467665798074156,1,0.546948499876444,iforest_only,1,0.310117
13,scored_log,1778298833.786000,1778298837.349000,8828,8877,50,0.3520631790161133,0,benign,0.5,1,0,0.12256385224727484,0.12256385224727484,0.9467665798074156,1,0.530474199253504,iforest_only,1,0.310117
664,scored_log,1778299231.883000,1778299234.903000,15338,15387,50,0.4374983012676239,0,benign,0.5,2,39|40,0.02004073860733868,-0.008472433867079021,0.580714733457996,1,0.48046323092473553,iforest_only,1,0.310117
12,scored_log,1778298833.786000,1778298837.348000,8818,8867,50,0.2513143718242645,0,benign,0.5,1,0,0.12256385224727484,0.12256385224727484,0.9467665798074156,1,0.4599500342192099,iforest_only,1,0.310117
