alert_id,start_timestamp,end_timestamp,start_event_id,end_event_id,duration_seconds,sequence_count,event_count,sequence_ids,iforest_window_ids,max_lstm_probability,mean_lstm_probability,max_iforest_anomaly_score,max_combined_score,mean_combined_score,combined_reason_summary,top_event_commands,top_event_keys,top_event_exes,top_event_comms,top_event_syscalls,top_event_paths
0,1778298833.783000,1778300128.067000,8788,9160,1294.2839999198914,16,374,9|10|11|12|13|14|15|16|17|18|24|25|26|27|28|41,0|1|129,0.9984725117683411,0.7226703837513924,0.14818342913665428,0.915408384693154,0.7099993443382476,iforest_only|lstm_and_iforest,tr [:upper:] [:lower:] (18) || cut -c1 (9) || tr [:lower:] [:upper:] (9) || cut -c2- (9) || sed -e s/.*= *// -e s/ *$// (3) || sh -c -- /usr/bin/lsb_release -sd 2>/dev/null (3) || /bin/sh /usr/bin/lsb_release -sd (3) || mktemp (3),exec:173|privilege_transition:66|(null):44|network_connect:44|file_destroy:13|service_control:6|tmp_activity:4|chmod_change:3,/usr/bin/sudo:86|/usr/sbin/auditctl:45|/usr/bin/dash:32|/usr/bin/tr:27|/usr/bin/cut:18|/usr/bin/mv:18|/usr/lib/systemd/systemd-executor:13|/usr/bin/expr:11,sudo:86|auditctl:45|tr:27|cut:18|mv:18|expr:11|vmware-toolbox-:9|sh:9,execve:179|sendto:44|connect:44|setresuid:37|setresgid:23|316:9|openat:6|126:4,/lib64/ld-linux-x86-64.so.2:164|/usr/bin/tr:54|/var/run/nscd/socket:48|/bin/sh:37|/usr/bin/cut:36|/usr/bin/:30|/usr/bin/expr:22|/usr/bin/lsb_release:18
1,1778300135.684000,1778300138.298000,9308,9377,2.614000082015991,3,73,61|62|63,130,0.8098849654197693,0.6253893574078878,0.13795104111204226,0.7755065781611454,0.6463596525528285,lstm_and_iforest,grep -E overlayroot|/media/root-ro|/media/root-rw /proc/mounts (1) || /bin/sh /etc/update-motd.d/98-fsck-at-reboot (1) || /bin/sh /usr/lib/update-notifier/update-motd-fsck-at-reboot (1) || id -u (1) || stat -c %Y /var/lib/update-notifier/fsck-at-reboot (1) || awk {print $1} /proc/uptime (1) || date -d now - 2382.04 seconds +%s (1) || date +%s (1),exec:35|home_activity:15|network_connect:9|privilege_transition:6|shell_exec:3|file_destroy:1|owner_change:1,/usr/sbin/sshd:15|/usr/bin/mkdir:13|/usr/bin/dash:8|/usr/bin/bash:8|/usr/bin/env:8|/usr/bin/date:4|/usr/bin/cat:2|/usr/bin/rm:2,sshd:15|mkdir:13|bash:8|baseline_worklo:8|date:4|egrep:3|cat:2|rm:2,execve:38|mkdir:11|connect:9|openat:3|setresuid:2|rename:1|setgid:1|126:1,/lib64/ld-linux-x86-64.so.2:29|/run/systemd/userdb/io.systemd.DynamicUser:14|/usr/bin/date:8|/home/analyst/baseline_workload/state/:8|/home:6|/home/analyst:6|/home/analyst/baseline_workload:6|/bin/sh:5
2,1778300187.589000,1778300191.653000,10528,10657,4.064000129699707,5,131,183|184|188|189|191,135,0.8170921802520752,0.6661370038986206,0.0007194149971975206,0.6747279001148525,0.5690592766674343,iforest_only|lstm_and_iforest,sleep 2 (2) || systemctl status nginx --no-pager (1) || sudo -n systemctl status ssh --no-pager (1) || systemctl status ssh --no-pager (1) || sudo -n journalctl -n --no-pager (1),privilege_transition:76|network_connect:32|home_activity:4|exec:4|service_control:2,/usr/bin/sudo:110|/usr/bin/systemctl:4|/usr/bin/sleep:2|/usr/bin/bash:2,sudo:110|systemctl:4|sleep:2|bash:2,setresuid:44|connect:32|setresgid:28|execve:6|openat:4|setgid:2|126:2,/var/run/nscd/socket:32|/lib64/ld-linux-x86-64.so.2:6|/home/analyst/:4|/dev/log:4|/usr/bin/systemctl:4|/run/systemd/private:4|/usr/bin/sleep:4|logs/:4
3,1778300215.361000,1778300233.013000,11468,17087,17.651999950408936,110,5620,277|278|281|282|283|284|285|286|287|288|289|291|292|293|294|295|296|298|300|301|302|303|304|305|306|307|308|309|310|311|312|313|314|315|316|317|318|319|320|321|322|323|324|325|326|327|328|329|330|331|332|333|334|335|396|397|443|444|445|446|447|448|449|450|451|452|453|454|455|456|457|458|459|460|461|462|463|464|465|492|493|494|495|640|641|642|643|644|645|646|647|815|817|818|819|820|821|822|823|824|825|826|827|828|829|830|831|832|833|834,138|139,0.9997896552085876,0.8086704160510139,0.256494781502289,0.9998527586460113,0.8598200139504317,iforest_only|lstm_and_iforest,id -u (75) || date +%s (56) || cat (32) || date -Is (32) || /usr/sbin/sshd -D -R (29) || sh -c -- /usr/bin/env -i PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin run-parts --lsbsysinit /etc/update-motd.d > /run/motd.dynamic.new (29) || /usr/bin/env -i PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin run-parts --lsbsysinit /etc/update-motd.d (29) || run-parts --lsbsysinit /etc/update-motd.d (29),exec:2003|privilege_transition:1464|network_connect:969|home_activity:322|tmp_activity:247|etc_changes:74|file_destroy:72|shell_exec:55,/usr/sbin/sshd:2014|/usr/bin/dash:627|/usr/bin/sudo:366|/usr/bin/bash:220|/usr/bin/cat:202|/usr/bin/git:194|/usr/bin/mkdir:143|/usr/bin/date:123,sshd:2014|sudo:366|bash:220|git:210|cat:202|mkdir:143|date:123|env:116,execve:2068|connect:969|setresuid:586|setresgid:465|openat:329|mkdir:157|114:120|113:91,/lib64/ld-linux-x86-64.so.2:1876|/run/systemd/userdb/io.systemd.DynamicUser:644|/bin/sh:573|/var/run/nscd/socket:570|/usr/bin/cat:404|/usr/bin/date:246|/dev/log:212|/usr/bin/uname:174
4,1778300281.107000,1778300287.597000,20468,22297,6.489999771118164,19,1833,1177|1178|1179|1180|1181|1182|1183|1184|1345|1346|1347|1348|1349|1350|1351|1352|1353|1354|1355,144|145,0.999737560749054,0.9505637374363447,0.21670152143393917,0.9691304275674524,0.9264499016305894,iforest_only|lstm_and_iforest,date -Is (27) || id -u (25) || date +%s (18) || cat (15) || /usr/sbin/sshd -D -R (10) || sh -c -- /usr/bin/env -i PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin run-parts --lsbsysinit /etc/update-motd.d > /run/motd.dynamic.new (10) || /usr/bin/env -i PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin run-parts --lsbsysinit /etc/update-motd.d (10) || run-parts --lsbsysinit /etc/update-motd.d (10),exec:684|privilege_transition:405|network_connect:296|home_activity:233|tmp_activity:72|file_destroy:21|shell_exec:18|(null):10,/usr/sbin/sshd:686|/usr/bin/bash:206|/usr/bin/dash:202|/usr/bin/mkdir:110|/usr/bin/cat:85|/usr/bin/date:56|/usr/bin/cp:52|/usr/bin/id:40,sshd:686|bash:206|mkdir:110|cat:85|date:56|cp:52|id:40|env:40,execve:703|connect:296|openat:202|setresuid:148|setresgid:129|mkdir:95|114:40|113:30,/lib64/ld-linux-x86-64.so.2:642|docs/:252|/run/systemd/userdb/io.systemd.DynamicUser:206|/bin/sh:186|/var/run/nscd/socket:184|/usr/bin/cat:170|/usr/bin/date:112|/home/analyst/baseline_workload/run_20260509_041538:66
5,1778300358.325000,1778300359.540000,25928,27077,1.2149999141693115,71,1168,1723|1724|1725|1726|1727|1728|1729|1730|1731|1732|1733|1734|1735|1736|1737|1738|1739|1740|1741|1742|1743|1744|1745|1746|1747|1748|1749|1750|1751|1752|1753|1754|1755|1756|1757|1758|1759|1760|1761|1762|1763|1764|1765|1766|1767|1768|1769|1770|1771|1772|1773|1774|1775|1776|1777|1778|1779|1780|1781|1782|1789|1798|1818|1820|1821|1822|1823|1824|1825|1832|1833,152,0.9998024106025696,0.8225101705797961,0.23466838065851658,0.9830306464958617,0.8589260784799203,iforest_only|lstm_and_iforest,id -u (14) || /usr/bin/locale-check C.UTF-8 (14) || locale (14) || mesg n (14) || /usr/lib/systemd/systemd-executor --deserialize A --log-level info --log-target journal-or-kmsg (4) || mktemp (3) || /usr/lib/systemd/system-environment-generators/snapd-env-generator (3) || /bin/sh /usr/lib/systemd/system-generators/friendly-recovery /run/systemd/generator /run/systemd/generator.early /run/systemd/generator.late (3),privilege_transition:457|network_connect:250|exec:178|file_destroy:42|shell_exec:15|scripting:8|home_activity:8|tmp_activity:7,/usr/bin/sudo:612|/usr/libexec/netplan/generate:51|/usr/lib/systemd/systemd-executor:49|/usr/sbin/sshd:36|/usr/lib/systemd/system-generators/sshd-socket-generator:24|/usr/bin/bash:20|/usr/bin/id:19|/usr/bin/locale-check:14,sudo:612|netplan:51|sshd:36|sshd-socket-gen:24|(fwupdmgr):24|bash:20|id:19|locale-check:14,setresuid:258|connect:250|execve:207|setresgid:153|126:27|unlink:25|setgid:15|openat:13,/var/run/nscd/socket:254|/lib64/ld-linux-x86-64.so.2:201|/dev/log:40|/usr/bin/id:30|/usr/bin/bash:30|/usr/bin/sudo:28|/usr/bin/locale-check:28|/usr/bin/locale:28
6,1778300395.846000,1778300398.891000,28688,28807,3.0450000762939453,5,145,1999|2001|2004|2005|2006,156,0.8892159461975098,0.6694450914859772,0.02554241975336169,0.7443563550284614,0.5905167567303886,iforest_only|lstm_and_iforest,systemctl status nginx --no-pager (1) || sleep 1 (1) || sudo -n systemctl status ssh --no-pager (1) || systemctl status ssh --no-pager (1) || sleep 2 (1) || sudo -n journalctl -n --no-pager (1),privilege_transition:91|network_connect:32|home_activity:4|exec:4|service_control:2,/usr/bin/sudo:125|/usr/bin/systemctl:4|/usr/bin/sleep:2|/usr/bin/bash:2,sudo:125|systemctl:4|sleep:2|bash:2,setresuid:55|setresgid:32|connect:32|execve:6|openat:4|setgid:2|126:2,/var/run/nscd/socket:32|/lib64/ld-linux-x86-64.so.2:6|/home/analyst/:4|/dev/log:4|/usr/bin/systemctl:4|/run/systemd/private:4|/usr/bin/sleep:4|logs/:4
7,1778300426.441000,1778300428.461000,30118,30887,2.0199999809265137,62,776,2142|2143|2144|2145|2150|2151|2152|2153|2154|2155|2156|2157|2158|2159|2160|2161|2162|2163|2164|2165|2166|2167|2168|2169|2170|2171|2172|2173|2174|2175|2176|2177|2178|2179|2180|2181|2182|2183|2184|2185|2186|2187|2188|2189|2194|2195|2196|2197|2198|2199|2200|2201|2202|2206|2207|2208|2209|2210|2211|2212|2213|2214,159,0.9998230338096619,0.833441388222479,0.23001657210194892,0.9794579232840002,0.8629907713729724,iforest_only|lstm_and_iforest,id -u (10) || /usr/bin/locale-check C.UTF-8 (9) || locale (9) || mesg n (8) || cat (7) || mkdir -p /tmp/.config/aegis_20260508_212024_systemd_watershell_SneJlG (2) || base64 -d (2) || tr [:upper:] [:lower:] (2),privilege_transition:276|exec:153|network_connect:130|tmp_activity:31|file_destroy:27|home_activity:21|shell_exec:11|owner_change:4,/usr/bin/sudo:369|/usr/libexec/netplan/generate:34|/usr/bin/mkdir:30|/usr/sbin/sshd:24|/usr/bin/bash:17|/usr/bin/dash:16|/usr/lib/systemd/system-generators/sshd-socket-generator:16|/usr/bin/id:10,sudo:369|netplan:34|mkdir:30|sshd:24|bash:17|sshd-socket-gen:16|id:10|cat:10,execve:167|setresuid:158|connect:130|setresgid:93|mkdir:27|unlink:21|openat:16|126:11,/lib64/ld-linux-x86-64.so.2:161|/var/run/nscd/socket:130|/tmp/:28|/home/analyst/baseline_workload/run_20260509_041538:22|/usr/bin/id:20|/usr/bin/cat:20|/dev/log:20|/usr/bin/bash:18
8,1778300435.072000,1778300439.199000,32368,34257,4.126999855041504,182,1894,2367|2368|2369|2370|2371|2375|2376|2377|2378|2379|2380|2381|2382|2383|2384|2385|2386|2387|2388|2389|2390|2391|2392|2393|2394|2395|2396|2397|2398|2399|2400|2401|2402|2403|2404|2405|2406|2407|2408|2409|2410|2411|2412|2413|2414|2415|2416|2417|2418|2419|2420|2421|2422|2423|2424|2425|2426|2427|2428|2429|2430|2431|2432|2433|2434|2435|2436|2437|2438|2439|2440|2441|2442|2443|2444|2445|2446|2447|2448|2449|2450|2451|2452|2453|2454|2455|2456|2457|2458|2459|2460|2461|2462|2463|2464|2465|2466|2467|2468|2469|2470|2471|2472|2473|2474|2475|2476|2477|2478|2479|2480|2481|2482|2483|2484|2485|2486|2487|2488|2489|2490|2491|2492|2493|2494|2495|2496|2497|2498|2499|2500|2501|2502|2503|2504|2505|2506|2507|2508|2509|2510|2511|2512|2513|2514|2515|2516|2517|2518|2519|2520|2521|2522|2523|2524|2525|2526|2527|2528|2529|2530|2531|2532|2533|2534|2535|2536|2537|2538|2539|2540|2541|2542|2543|2544|2545|2546|2547|2548|2549|2550|2551,160,0.9998251795768738,0.9640035025038562,0.20458690741108088,0.9598497915473256,0.9347746175962133,iforest_only|lstm_and_iforest,id -u (30) || /usr/bin/locale-check C.UTF-8 (29) || locale (29) || mesg n (28) || cat (6) || date +%s (2) || mkdir -p /dev/shm/aegis_20260508_212033_firewall_disable_JITTWV (2) || iptables -P INPUT ACCEPT (2),privilege_transition:862|exec:382|network_connect:348|tmp_activity:73|shell_exec:31|(null):13|home_activity:3|file_destroy:2,/usr/bin/sudo:1189|/usr/sbin/xtables-nft-multi:202|/usr/bin/bash:105|/usr/sbin/sshd:37|/usr/bin/id:35|/usr/bin/locale-check:29|/usr/bin/locale:29|/usr/bin/mesg:28,sudo:1189|bash:105|iptables:101|ip6tables:101|sshd:37|id:35|locale-check:29|locale:29,setresuid:500|execve:414|connect:348|setresgid:295|openat:74|setgid:31|126:31|46:13,/lib64/ld-linux-x86-64.so.2:411|/var/run/nscd/socket:378|/sbin/ip6tables:164|/sbin/iptables:162|/dev/shm/aegis_20260508_212033_firewall_disable_JITTWV/:142|/usr/bin/id:62|/dev/log:60|/usr/bin/bash:58
9,1778300598.586000,1778300610.761000,40878,46657,12.174999952316284,78,5780,3218|3219|3220|3221|3222|3233|3234|3235|3236|3237|3238|3239|3240|3241|3242|3243|3244|3245|3246|3247|3248|3249|3250|3293|3294|3295|3296|3297|3452|3453|3454|3455|3456|3467|3468|3469|3470|3471|3472|3473|3474|3475|3476|3481|3482|3483|3487|3488|3489|3490|3491|3530|3531|3532|3533|3554|3687|3697|3698|3699|3700|3701|3712|3713|3714|3715|3716|3717|3718|3719|3720|3721|3722|3761|3762|3763|3764|3791,176|177,0.9995719790458679,0.9011010590654153,0.22215889386361432,0.9732217078384134,0.9022935171201962,iforest_only|lstm_and_iforest,id -u (91) || date +%s (73) || /bin/sh -e /usr/lib/ubuntu-release-upgrader/release-upgrade-motd (37) || stat -c %Y /var/lib/ubuntu-release-upgrader/release-upgrade-available (37) || expr 1778282941 + 86400 (37) || /bin/sh /etc/update-motd.d/92-unattended-upgrades (37) || /bin/sh /usr/share/unattended-upgrades/update-motd-unattended-upgrades (37) || /bin/sh /etc/update-motd.d/95-hwe-eol (37),exec:2274|privilege_transition:1588|network_connect:1107|file_destroy:103|home_activity:103|tmp_activity:98|shell_exec:61|(null):36,/usr/sbin/sshd:2592|/usr/bin/dash:809|/usr/bin/cat:203|/usr/bin/env:156|/usr/bin/sudo:138|/usr/bin/bash:126|/usr/bin/date:120|/usr/bin/mkdir:115,sshd:2592|cat:203|env:156|egrep:148|sudo:138|bash:126|date:120|mkdir:115,execve:2345|connect:1107|setresuid:600|setresgid:501|114:144|113:108|mkdir:101|setgid:81,/lib64/ld-linux-x86-64.so.2:2108|/run/systemd/userdb/io.systemd.DynamicUser:792|/bin/sh:734|/var/run/nscd/socket:556|/usr/bin/cat:406|/dev/log:376|/usr/bin/date:240|/usr/bin/find:222
